Production Order,Audio ID,Source ID,Module,Screen ID(s),Topic,Audio Type,Target Length,Target Max Seconds,Estimated TTS Seconds @145wpm,Length Check,Final Asset Path,Script / Transcript,Transcript Required,Transcript Display,Playback Context,Embedded for MVP,Source Status,Production Status,Recording Priority,TTS Pass Status,Audio QA Status,Final Asset Status,Notes
11,AUD-102-S,AUD-102-S,Sound Therapy,ST-001,Why Sound Helps,Short explainer,15-30 sec,30,12,OK / check in TTS,audio/sound_therapy/p_102_aud_102_s_why_sound_helps.m4a,"Tinnitus often stands out most in quiet. Adding soft sound should not erase tinnitus, but it can make the sound less isolated and less demanding of your attention.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
12,AUD-105-S,AUD-105-S,Sound Therapy,"ST-001, ST-003",Choosing Sounds,Short explainer,15-30 sec,30,14,OK / check in TTS,audio/sound_therapy/p_105_aud_105_s_choosing_sounds.m4a,"There is no perfect sound for everyone. Some people like rain, some like crickets, some like a fan, and some prefer a steady noise. The best sound is one you can comfortably use over time.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Great! | Also placed on screen ST-003
13,AUD-103-S,AUD-103-S,Sound Therapy,ST-002,Masking vs Habituation,Short explainer,15-30 sec,30,24,OK / check in TTS,audio/sound_therapy/p_103_aud_103_s_masking_vs_habituation.m4a,"Fully covering tinnitus can feel useful in a moment, but if the goal is to cover it up all day, the brain has less opportunity to adapt. Sound therapy is different: we keep the sound comfortable and present while still allowing some awareness of tinnitus, so the brain can learn that tinnitus does not need to dominate.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Needs final polish before TTS,Polish first,Not generated,Not checked,Placeholder path; file not yet supplied,Redid this.  Still may need some polish.   | V10 polish applied to fix wording and clarify masking vs sound therapy. | Locked note: final polish pass after screen context.
14,AUD-104-G,AUD-104-G,Sound Therapy,ST-004,Sound Therapy Thermometer,Exercise walkthrough,60-90 sec,90,22,OK / check in TTS,audio/sound_therapy/p_104_aud_104_g_sound_therapy_thermometer.m4a,"Start with the sound low and slowly bring it up. If you cannot hear the sound therapy at all, it is too low. If you cannot hear tinnitus at all, it may be more volume than you need. The middle zone is where you can hear both, and neither one is taking over.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
15,AUD-ST-HH-001,AUD-ST-HH-001,Sound Therapy,ST-005,Hearing Care and Amplification,Short explainer / exercise,15-90 sec,90,15,OK / check in TTS,audio/sound_therapy/st_hh_001_aud_st_hh_001.m4a,"If you have hearing loss, hearing care is one of the most important places to start. Hearing aids can act as a very customized form of sound therapy by restoring sounds your brain has been missing.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good. | Promoted during closure pass.
16,AUD-ST-SS-001,AUD-ST-SS-001,Sound Therapy,ST-006,Sound Therapy for Sound Sensitivity,Short explainer / exercise,15-90 sec,90,16,OK / check in TTS,audio/sound_therapy/st_ss_001_aud_st_ss_001.m4a,"For people with sound sensitivity, using sound may seem strange at first. The same basic principle still applies: comfortable sound, presented under your control, can help the auditory system and the alarm system become less reactive over time.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good | Promoted during closure pass.
17,AUD-ST-SS-002,AUD-ST-SS-002,Sound Therapy,ST-007,Enjoyable Music Speaker Exercise,Short explainer / exercise,15-90 sec,90,25,OK / check in TTS,audio/sound_therapy/st_ss_002_aud_st_ss_002.m4a,"Choose music you actually enjoy. Start with the volume all the way down, then slowly raise it until you begin to notice sensitivity. Turn it down slightly below that point and listen for 10 to 15 minutes. Some days the level will be lower and some days it will be higher. The goal is the process, not a perfect number.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good | Promoted during closure pass.
18,NEW-AUD-ST-PLAN-001,NEW-AUD-ST-PLAN-001,Sound Therapy,ST-008,Create sound therapy plan,Exercise walkthrough,45-60 sec,60,27,OK / check in TTS,audio/sound_therapy/st_plan_001_create_plan.m4a,"Now turn sound therapy into a simple plan. Choose one or two sounds that feel comfortable, note when they might fit into your day, and think about what device or source you would actually use. Some times will be easy and some will be harder. That is not a problem. The goal is to make sound therapy practical enough that you can return to it consistently.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
19,AUD-200-OV,AUD-200-OV,Acceptance and Change,AC-001,Acceptance versus change,Chapter overview,60-90 sec,90,27,OK / check in TTS,audio/acceptance/p_200_aud_200_ov_acceptance_versus_change.m4a,"Acceptance can sound like giving up, especially when tinnitus feels new or overwhelming. In this app, acceptance means taking an honest look at what is happening right now so you can stop spending all your energy on unwinnable fights and start making changes that are actually available to you. Acceptance and change are not enemies; in many situations, acceptance is what makes meaningful change possible.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Wonderful
20,AUD-200-OBJ,AUD-200-OBJ,Acceptance and Change,AC-001,Learning objectives,Short explainer,15-30 sec,30,10,OK / check in TTS,audio/acceptance/p_200_aud_200_obj_learning_objectives.m4a,"In this section, we are going to separate acceptance from giving up, look at how avoidance can increase frustration, and practice ways to emphasize acceptance. ",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
21,AUD-201-S,AUD-201-S,Acceptance and Change,AC-001,Why this matters for tinnitus,Short explainer,15-30 sec,30,19,OK / check in TTS,audio/acceptance/p_201_aud_201_s_why_this_matters_for_tinnitus.m4a,"At the beginning, many people try to win battles that tinnitus does not let them win quickly: finding the magic cure, blocking the sound all day, or searching constantly for the one perfect answer. Those reactions make sense, but they often lead to frustration and disappointment.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Redid the last sentence.  
22,AUD-201-BML,AUD-201-BML,Acceptance and Change,AC-001,Body Mind Life bridge,Short explainer,15-30 sec,30,14,OK / check in TTS,audio/acceptance/p_201_aud_201_bml_body_mind_life_bridge.m4a,"This connects back to the Body, Mind, and Life model. The sound is part of the body experience, but the struggle, fear, avoidance, and disruption to daily life are often where tinnitus becomes most powerful.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,This works well.
23,AUD-202-A,AUD-202-A,Acceptance and Change,AC-002,Acceptance term,Short explainer,15-30 sec,30,13,OK / check in TTS,audio/acceptance/p_202_aud_202_a_acceptance_term.m4a,"Acceptance does not mean that you like tinnitus, want it, or believe nothing can improve. It means you are acknowledging what is here right now so you can respond more wisely.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
24,AUD-202-R,AUD-202-R,Acceptance and Change,AC-002,Acceptance vs resignation,Short explainer,15-30 sec,30,12,OK / check in TTS,audio/acceptance/p_202_aud_202_r_acceptance_vs_resignation.m4a,"Resignation says, nothing can change, so why try? Acceptance says, this is the situation I am in right now, and I can still choose the next useful step.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
25,AUD-202-C,AUD-202-C,Acceptance and Change,AC-002,Control and influence,Short explainer,15-30 sec,30,14,OK / check in TTS,audio/acceptance/p_202_aud_202_c_control_and_influence.m4a,"You may not have a switch that turns tinnitus off on command. But you can influence your sound environment, your attention, your routines, your self-talk, and the way you move through your day.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good.
26,AUD-204-WC,AUD-204-WC,Acceptance and Change,AC-002,What can change,Short explainer,15-30 sec,30,14,OK / check in TTS,audio/acceptance/p_204_aud_204_wc_what_can_change.m4a,"Change can mean using sound therapy differently, returning to a routine, communicating a need, practicing mindfulness, or responding to a thought in a new way. Change does not have to mean forcing tinnitus to disappear.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
27,AUD-203-S,AUD-203-S,Acceptance and Change,AC-003,Avoidance vs acceptance,Short explainer,15-30 sec,30,13,OK / check in TTS,audio/acceptance/p_203_aud_203_s_avoidance_vs_acceptance.m4a,The real opposite of acceptance is not change. The real opposite is often avoidance: trying so hard not to experience tinnitus that your whole day begins to organize around escaping it.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
28,AUD-203-EX,AUD-203-EX,Acceptance and Change,AC-003,Resistance examples,Short explainer,15-30 sec,30,15,OK / check in TTS,audio/acceptance/p_203_aud_203_ex_resistance_examples.m4a,"Avoidance can look like blocking out tinnitus all day, avoiding quiet places, canceling activities, or spending every free moment searching for cures. These patterns are understandable, but they can keep tinnitus at the center of your life.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
29,AUD-203-R,AUD-203-R,Acceptance and Change,AC-003,Resistance reflection,Prompt,15 sec,15,10,OK / check in TTS,audio/acceptance/p_203_aud_203_r_resistance_reflection.m4a,Take a moment to ask: where am I pulling against tinnitus right now? You do not need to judge the answer. Just notice it.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
30,AUD-204-S,AUD-204-S,Acceptance and Change,AC-004,Acceptance leads to change,Short explainer,15-30 sec,30,15,OK / check in TTS,audio/acceptance/p_204_aud_204_s_acceptance_leads_to_change.m4a,"Real change begins when we take account of the situation we are actually in. If we are fighting for a magic switch, we may miss the smaller changes that can make today easier and life better.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
31,AUD-205-OV,AUD-205-OV,Acceptance and Change,AC-004,Sound therapy bridge,Bridge explainer,45-60 sec,60,34,OK / check in TTS,audio/acceptance/p_205_aud_205_ov_sound_therapy_bridge.m4a,"Sound therapy gives us a concrete example of acceptance and change working together. If we use sound only to cover tinnitus completely, we may feel better for a moment, but we are also avoiding the sound. When we set sound therapy like we recommend in this app, where we can hear the sound therapy and still have some awareness of tinnitus, we are accepting enough of the situation for the brain to learn while still making the environment easier to tolerate.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
32,AUD-205-OM,AUD-205-OM,Acceptance and Change,AC-004,Overmasking as avoidance,Short explainer,15-30 sec,30,19,OK / check in TTS,audio/acceptance/p_205_aud_205_om_overmasking_as_avoidance.m4a,"There may be moments when covering tinnitus is useful, but if the whole strategy is to never hear tinnitus at all, the brain loses opportunity to change. Sound therapy works best when it supports your life rather than becoming another way to hide from it.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Adjusted and made easier.  
33,AUD-206-G,AUD-206-G,Acceptance and Change,AC-005,Tug-of-War walkthrough,Exercise walkthrough,60-90 sec,90,28,OK / check in TTS,audio/acceptance/p_206_aud_206_g_tug_of_war_walkthrough.m4a,"Imagine tinnitus on the other side of a rope. You pull harder and harder, trying to win, but the more energy you spend, the more exhausted and stuck you feel. Dropping the rope does not mean you like tinnitus or that tinnitus wins. It means you stop spending this moment on a fight that is not helping, and you free up energy for one next useful action.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
34,AUD-206-F1,AUD-206-F1,Acceptance and Change,AC-005,Pulling the rope prompt,Prompt,15 sec,15,10,OK / check in TTS,audio/acceptance/p_206_aud_206_f1_pulling_the_rope_prompt.m4a,What does staying in the tug-of-war look like to you? What situations make you feel the need to fight against tinnitus?,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,"Let’s remove or rewrite this.  It is very similar to a previous prompt on the same topic, but outside the exercise.    Maybe something like “What does staying in the tug-of-war look like to you?  What situations to you feel the need to fight against tinnitus?” | Rewritten per closure decision."
35,AUD-206-F2,AUD-206-F2,Acceptance and Change,AC-005,Dropping the rope prompt,Prompt,15 sec,15,10,OK / check in TTS,audio/acceptance/p_206_aud_206_f2_dropping_the_rope_prompt.m4a,Now ask what dropping the rope could look like for just one moment. What would you have more space to do if the struggle paused?,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
36,AUD-207-S,AUD-207-S,Acceptance and Change,AC-006,Both-and thinking,Short explainer,15-30 sec,30,14,OK / check in TTS,audio/acceptance/p_207_aud_207_s_both_and_thinking.m4a,"Two things can be true at the same time. Tinnitus can be present, and you can still choose something helpful. You can wish this were different, and still take care of yourself today.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
37,AUD-207-EX,AUD-207-EX,Acceptance and Change,AC-006,Both-and examples,Short explainer,15-30 sec,30,17,OK / check in TTS,audio/acceptance/p_207_aud_207_ex_both_and_examples.m4a,"Yes, my tinnitus is loud today, and I can use sound therapy to make it feel less intrusive. Yes, I wish I did not have tinnitus, and I can still go outside, connect with someone, or do something that matters.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Adjusted first sentence.  
38,AUD-208-G,AUD-208-G,Acceptance and Change,AC-006,Yes AND builder,Exercise walkthrough,45-60 sec,60,16,OK / check in TTS,audio/acceptance/p_208_aud_208_g_yes_and_builder.m4a,"Start with a real frustration. Do not soften it and do not pretend it is easy. Then add the word AND, followed by one action you can take. The first half is acceptance. The second half is change.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
39,AUD-208-F2,AUD-208-F2,Acceptance and Change,AC-006,AND prompt,Prompt,15 sec,15,10,OK / check in TTS,audio/acceptance/p_208_aud_208_f2_and_prompt.m4a,"Now add one useful action. For example: and I can use a sound I like, take one breath, or do one meaningful thing anyway.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
40,AUD-208-R,AUD-208-R,Acceptance and Change,AC-006,Yes AND reflection,Prompt,15 sec,15,9,OK / check in TTS,audio/acceptance/p_208_aud_208_r_yes_and_reflection.m4a,Notice what changes when the sentence holds both truths. It doesn’t have to feel perfect for the statement to be useful.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
41,NEW-AUD-AC-VALUES-001,NEW-AUD-AC-VALUES-001,Acceptance and Change,AC-007,Reconnection with What Matters,Exercise walkthrough,45-60 sec,60,24,OK / check in TTS,audio/acceptance/ac_values_001_reconnection.m4a,"Pick one thing tinnitus has made smaller in your life. It could be music, sleep, social time, quiet work, or something else that matters to you. You do not need to fix the whole situation today. List a few possible steps, then choose the easiest useful step you could take now. Reconnection starts with one realistic action.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
42,AUD-213-TL,AUD-213-STEM,Acceptance and Change,AC-008,Three Lines journal connection,Short explainer,15-30 sec,30,19,OK / check in TTS,audio/acceptance/p_213_aud_213_three_lines_connection.m4a,"This can also connect to your Three Lines check-in. A few words about what you did for sound therapy, emotional regulation, or mindfulness may help you notice what supports you over time. This is an exercise we will dive deeper into throughout this app.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Added an addition onto the end.  
43,AUD-214-OV,AUD-214-OV,Acceptance and Change,AC-008,Acceptance to mindfulness bridge,Bridge explainer,45-60 sec,60,17,OK / check in TTS,audio/acceptance/p_214_aud_214_ov_acceptance_to_mindfulness_bridge.m4a,"Mindfulness becomes easier when we understand acceptance first. Mindfulness is not a test where you sit in silence and suffer. It is the practice of noticing what is here, including tinnitus, without letting it become the only thing in awareness.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
44,AUD-214-DT,AUD-214-DT,Acceptance and Change,AC-008,Acceptance to distress tolerance bridge,Short explainer,15-30 sec,30,8,OK / check in TTS,audio/acceptance/p_214_aud_214_dt_acceptance_to_distress_tolerance.m4a,"When distress is high, acceptance may start very small: one pause, one breath, or one decision not to react immediately.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
45,AUD-215-OV,AUD-215-OV,Acceptance and Change,AC-008,Save acceptance tools,Short explainer,15-30 sec,30,9,OK / check in TTS,audio/acceptance/p_215_aud_215_ov_save_acceptance_tools.m4a,Write down the statements and reflections that feel useful. You can come back to them later when you need a reminder.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
46,AUD-215-NEXT,AUD-215-NEXT,Acceptance and Change,AC-008,Next step after acceptance,Short explainer,15-30 sec,30,10,OK / check in TTS,audio/acceptance/p_215_aud_215_next_next_step_after_acceptance.m4a,"The next section builds on this directly. Mindfulness gives you a way to practice acceptance in real moments, without needing silence or perfection.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good.  
47,AUD-211-A,AUD-211-A,Acceptance and Change,UNPLACED,Acceptance definition,Term snippet,15 sec,15,7,OK / check in TTS,audio/acceptance/p_211_aud_211_a_acceptance_definition.m4a,"Acceptance means acknowledging the present experience without spending all your energy suppressing it, fighting it, or denying it.",Yes,Collapsed if used; placement not yet assigned.,Unplaced v10 glossary/term audio; needs placement review before build.,Pending placement,V10 approved edited script; not placed in screen spec,Needs placement decision before TTS,Hold,Not generated,Not checked,Placeholder path; file not yet supplied,"Included in v10 but absent from the MVP Screen Spec Audio Placement sheet. Likely glossary/term snippet; verify whether to include, combine, or park."
