loop,section_order,section_type,section_header,education_text,audio_segment_id,audio_transcript,target_audio_length,estimated_audio_length,audio_word_count,default_state,integrated_visual_tool,linked_practice_exercise,safety_scope_note,sync_source
About Tinnitus,11,Exercise,Pause & Reflect: Why am I doing this?,"Before you start learning tools, take a moment to name your reason for being here. Are you looking for relief, understanding, better sleep, more confidence, or a way to make everyday life feel easier? Then imagine six months from now. How would you want tinnitus to feel different, not only in sound, but in how it affects your experience? Finally, choose one small step you can take this week. Naming your why can make the rest of the work feel more connected to your life.",AT-010-PAUSE,"Before you start learning tools, take a moment to name your reason for being here. Are you looking for relief, understanding, better sleep, more confidence, or a way to make everyday life feel easier? Then imagine six months from now. How would you want tinnitus to feel different, not only in sound, but in how it affects your experience? Finally, choose one small step you can take this week. Naming your why can make the rest of the work feel more connected to your life.",60-75 sec,20-45 sec,85,Exercise card after education,,NEW recommended exercise: Pause & Reflect / Why am I doing this?,,Current Education Text -> Audio Transcript
About Tinnitus,12,Exercise,Body / Mind / Life Exploration,"This exercise helps you sort your tinnitus experience into three areas. Body includes physical or medical factors, such as hearing changes, sound sensitivity, injury, or other health issues. Mind includes thoughts, emotions, stress, and worry. Life includes routines, sleep, relationships, work, and environments. A few words in each area is enough. The purpose is not to diagnose yourself. The purpose is to see the whole picture and identify where a useful next step might be.",AT-011-BML-EX,"This exercise helps you sort your tinnitus experience into three areas. Body includes physical or medical factors, such as hearing changes, sound sensitivity, injury, or other health issues. Mind includes thoughts, emotions, stress, and worry. Life includes routines, sleep, relationships, work, and environments. A few words in each area is enough. The purpose is not to diagnose yourself. The purpose is to see the whole picture and identify where a useful next step might be.",60-75 sec,20-45 sec,75,Exercise card after education,Body / Mind / Life diagram,I-002 Body / Mind / Life Exploration,,Current Education Text -> Audio Transcript
About Tinnitus,13,Main points,Main points before you move on,"Tinnitus is more than sound. The sound matters, but stress, attention, sleep, thoughts, avoidance, and social life can all change how tinnitus feels. Looking at tinnitus through Body, Mind, and Life gives you more than one place to intervene. This app can be used on your own, but professional support can help when the skills feel difficult or when medical, hearing, sleep, or mental health concerns need attention. You do not need to solve everything today. Start with one useful step.",AT-012-POINTS,"Tinnitus is more than sound. The sound matters, but stress, attention, sleep, thoughts, avoidance, and social life can all change how tinnitus feels. Looking at tinnitus through Body, Mind, and Life gives you more than one place to intervene. This app can be used on your own, but professional support can help when the skills feel difficult or when medical, hearing, sleep, or mental health concerns need attention. You do not need to solve everything today. Start with one useful step.",45-60 sec,20-45 sec,81,Expanded by default near end,,,,Current Education Text -> Audio Transcript
About Tinnitus,14,Next step,A good next step: Sound Therapy,"Sound Therapy is a good place to begin because it works directly with the sound environment. It can make tinnitus feel less isolated, reduce the contrast with silence, and set the stage for the emotional and behavioral tools that come later. If you are not sure where to go next, start there. You can always return to this section and update your Body / Mind / Life picture as your understanding changes.",AT-013-NEXT,"Sound Therapy is a good place to begin because it works directly with the sound environment. It can make tinnitus feel less isolated, reduce the contrast with silence, and set the stage for the emotional and behavioral tools that come later. If you are not sure where to go next, start there. You can always return to this section and update your Body / Mind / Life picture as your understanding changes.",35-45 sec,20-45 sec,70,Expanded by default at end,Link card to Sound Therapy,I-002 optional revisit later,,Current Education Text -> Audio Transcript
About Tinnitus,15,Safety / Scope,Scope and safety,"This app is educational. It can help you learn tinnitus management concepts and practice self-guided skills, but it is not medical advice, therapy, crisis support, or a replacement for appropriate care. If you feel unsafe or are in a mental health crisis, do not rely on this app. Seek immediate support through emergency services, crisis resources, or a qualified professional. Sudden hearing changes, new neurological symptoms, pulsatile tinnitus, one-sided tinnitus, severe sound sensitivity, persistent sleep problems, or significant distress deserve professional evaluation.",AT-014-SAFETY,"This app is educational. It can help you learn tinnitus management concepts and practice self-guided skills, but it is not medical advice, therapy, crisis support, or a replacement for appropriate care. If you feel unsafe or are in a mental health crisis, do not rely on this app. Seek immediate support through emergency services, crisis resources, or a qualified professional. Sudden hearing changes, new neurological symptoms, pulsatile tinnitus, one-sided tinnitus, severe sound sensitivity, persistent sleep problems, or significant distress deserve professional evaluation.",60-75 sec,20-45 sec,82,Collapsed by default,,,,Current Education Text -> Audio Transcript
Sound Therapy,1,Expanded,Using helpful sounds to manage tinnitus,"Sound therapy means using comfortable outside sound to make tinnitus less dominant in your listening environment. The goal is not to blast tinnitus away or prove that you can ignore it. The goal is to give your ears and brain another sound to work with so tinnitus can gradually become less central.

This is often one of the most practical starting points in tinnitus management because it works directly with the sound experience. When sound therapy is used consistently and comfortably, it can help set the stage for the other skills in this app, including acceptance, mindfulness, distress tolerance, cognitive reframing, and sleep support.",ST-V5-001,"Sound therapy means using comfortable outside sound to make tinnitus less dominant in your listening environment. The goal is not to blast tinnitus away or prove that you can ignore it. The goal is to give your ears and brain another sound to work with so tinnitus can gradually become less central.

This is often one of the most practical starting points in tinnitus management because it works directly with the sound experience. When sound therapy is used consistently and comfortably, it can help set the stage for the other skills in this app, including acceptance, mindfulness, distress tolerance, cognitive reframing, and sleep support.",45-75 sec,20-45 sec,104,Expanded,Optional header illustration: gentle sound waves around listener,Sound Therapy Sweet Spot Reflection; Personalized Sound Therapy Plan,,Current Education Text -> Audio Transcript
Sound Therapy,2,Expanded,What you will learn in this section,"By the end of this section, you should understand why sound therapy can help the brain get used to tinnitus, how to choose sounds and devices that feel comfortable, and how to set the volume so tinnitus and sound therapy gently overlap.

The most important skill is finding the right volume level. Sound that is too quiet will not help much, while sound that completely covers tinnitus may become a form of avoidance. The useful range is where the sound therapy is clearly present, but tinnitus is not being pushed out of awareness entirely.",ST-V5-002,"By the end of this section, you should understand why sound therapy can help the brain get used to tinnitus, how to choose sounds and devices that feel comfortable, and how to set the volume so tinnitus and sound therapy gently overlap.

The most important skill is finding the right volume level. Sound that is too quiet will not help much, while sound that completely covers tinnitus may become a form of avoidance. The useful range is where the sound therapy is clearly present, but tinnitus is not being pushed out of awareness entirely.",45-75 sec,20-45 sec,94,Expanded,Small three-point learning objective checklist,Sound Therapy Sweet Spot Reflection,,Edited Education Text -> Audio Transcript
Sound Therapy,3,Expanded,Why sound therapy helps,"When tinnitus is the only noticeable sound, the brain may treat it as the most important thing in the room. Sound therapy changes that listening environment. By adding a neutral or soothing background sound, you reduce the contrast between silence and tinnitus.

Over time, this can help the brain treat tinnitus as a lower-priority signal. It may still be there, but it does not have to take center stage or pull your attention as strongly. This process is gradual, and it works best when sound therapy is used patiently and consistently.",ST-V5-003,"When tinnitus is the only noticeable sound, the brain may treat it as the most important thing in the room. Sound therapy changes that listening environment. By adding a neutral or soothing background sound, you reduce the contrast between silence and tinnitus.

Over time, this can help the brain treat tinnitus as a lower-priority signal. It may still be there, but it does not have to take center stage or pull your attention as strongly. This process is gradual, and it works best when sound therapy is used patiently and consistently.",45-75 sec,20-45 sec,91,Expanded,Visual: contrast between silence/tinnitus and enriched sound environment,Personalized Sound Therapy Plan,,Edited Education Text -> Audio Transcript
Sound Therapy,4,Expanded,What sound therapy is,"Sound therapy means adding soft, steady, or soothing sound to your environment. This might come from a fan, a sound machine, a phone app, a speaker, open-ear headphones, or hearing aids. The sound does not have to be special or complicated. It just needs to be comfortable and useful for you.

Think of sound therapy as an auditory backdrop. The outside sound gives your brain something else to hear, so tinnitus is not standing alone in silence. The aim is not to erase tinnitus in the moment, but to make the listening environment easier for your brain to handle.",ST-V5-004,"Sound therapy means adding soft, steady, or soothing sound to your environment. This might come from a fan, a sound machine, a phone app, a speaker, open-ear headphones, or hearing aids. The sound does not have to be special or complicated. It just needs to be comfortable and useful for you.

Think of sound therapy as an auditory backdrop. The outside sound gives your brain something else to hear, so tinnitus is not standing alone in silence. The aim is not to erase tinnitus in the moment, but to make the listening environment easier for your brain to handle.",45-75 sec,20-45 sec,99,Expanded,"Optional icons: fan, speaker, phone app, hearing aid, nature sound",Personalized Sound Therapy Plan,,Current Education Text -> Audio Transcript
Sound Therapy,5,Expanded,A restaurant example,"A simple way to understand sound therapy is to imagine sitting in a restaurant. Music, voices, and movement do not erase every small sound in the room, but they help those sounds blend into the background. The clink of silverware may still happen, but it usually does not demand your full attention.

Tinnitus can work in a similar way. When the room is completely quiet, tinnitus may feel isolated and intense. When gentle sound is added, tinnitus may still be present, but it has more competition and can begin to feel less intrusive.",ST-V5-005,"A simple way to understand sound therapy is to imagine sitting in a restaurant. Music, voices, and movement do not erase every small sound in the room, but they help those sounds blend into the background. The clink of silverware may still happen, but it usually does not demand your full attention.

Tinnitus can work in a similar way. When the room is completely quiet, tinnitus may feel isolated and intense. When gentle sound is added, tinnitus may still be present, but it has more competition and can begin to feel less intrusive.",45-75 sec,20-45 sec,93,Expanded,Optional simple restaurant ambience illustration,,,Current Education Text -> Audio Transcript
Sound Therapy,6,Expanded,Why silence can make tinnitus feel louder,"Many people notice tinnitus most strongly in quiet. That does not necessarily mean tinnitus has become more dangerous or permanently louder. It may mean there is less outside sound competing for attention.

Sound therapy reduces the stark contrast between silence and tinnitus. That can lower the feeling that tinnitus is the only thing happening. For some people this helps with concentration, relaxation, evening routines, and sleep preparation. It also gives the brain repeated opportunities to learn that tinnitus can be present without needing an alarm response.",ST-V5-006,"Many people notice tinnitus most strongly in quiet. That does not necessarily mean tinnitus has become more dangerous or permanently louder. It may mean there is less outside sound competing for attention.

Sound therapy reduces the stark contrast between silence and tinnitus. That can lower the feeling that tinnitus is the only thing happening. For some people this helps with concentration, relaxation, evening routines, and sleep preparation. It also gives the brain repeated opportunities to learn that tinnitus can be present without needing an alarm response.",45-75 sec,20-45 sec,86,Expanded,Visual: contrast meter / quiet room vs sound-enriched room,Sound Therapy Sweet Spot Reflection,,Current Education Text -> Audio Transcript
Sound Therapy,7,Expanded,Masking is not the same as sound therapy,"Many people use the word masking to mean any use of sound for tinnitus, but full masking and sound therapy are not the same thing. Full masking means turning sound up until tinnitus is completely covered. That can be useful for a short break or a high-distress moment, but it is not the main goal of sound therapy, as we discuss it here.

Sound therapy usually works best when it supports adaptation. That means the sound is comfortable and present, while tinnitus may still be partly audible. In that volume range, the brain can begin learning that tinnitus does not need to dominate or trigger constant monitoring.",ST-V5-007,"Many people use the word masking to mean any use of sound for tinnitus, but full masking and sound therapy are not the same thing. Full masking means turning sound up until tinnitus is completely covered. That can be useful for a short break or a high-distress moment, but it is not the main goal of sound therapy, as we discuss it here.

Sound therapy usually works best when it supports adaptation. That means the sound is comfortable and present, while tinnitus may still be partly audible. In that volume range, the brain can begin learning that tinnitus does not need to dominate or trigger constant monitoring.",45-75 sec,20-45 sec,107,Expanded,Visual: masking vs sound therapy comparison card,Sound Therapy Sweet Spot Reflection,,Edited Education Text -> Audio Transcript
Sound Therapy,8,Expanded,Short-term relief and long-term adaptation,"Full masking can feel good because it gives immediate relief from hearing tinnitus. The limitation is that the relief often stops when the masking sound stops. If the brain only learns that tinnitus must be hidden, tinnitus may feel more threatening when it returns.

A habituation-oriented sound therapy approach is different. It allows some awareness of tinnitus while adding a steady, supportive sound. This can help the brain learn that tinnitus is present but not urgent. That learning is usually slower than short-term masking, but it is often more useful for daily management.",ST-V5-008,"Full masking can feel good because it gives immediate relief from hearing tinnitus. The limitation is that the relief often stops when the masking sound stops. If the brain only learns that tinnitus must be hidden, tinnitus may feel more threatening when it returns.

A habituation-oriented sound therapy approach is different. It allows some awareness of tinnitus while adding a steady, supportive sound. This can help the brain learn that tinnitus is present but not urgent. That learning is usually slower than short-term masking, but it is often more useful for daily management.",45-75 sec,20-45 sec,93,Expanded,Two-column comparison: short-term masking vs long-term adaptation,,,Current Education Text -> Audio Transcript
Sound Therapy,9,Expanded,Finding the sound therapy sweet spot,"The sound therapy sweet spot is the range where you can hear both the sound therapy and your tinnitus. If the sound therapy is too quiet, it may not give your brain enough input to work with. If it is too loud and completely covers tinnitus, it may become more about escaping the sound than adapting to it.

The middle volume range is usually the most helpful. In that range, tinnitus is present, but it is not alone. Sound therapy becomes a calm companion to your listening environment rather than a battle to overpower tinnitus.",ST-V5-009,"The sound therapy sweet spot is the range where you can hear both the sound therapy and your tinnitus. If the sound therapy is too quiet, it may not give your brain enough input to work with. If it is too loud and completely covers tinnitus, it may become more about escaping the sound than adapting to it.

The middle volume range is usually the most helpful. In that range, tinnitus is present, but it is not alone. Sound therapy becomes a calm companion to your listening environment rather than a battle to overpower tinnitus.",45-75 sec,20-45 sec,95,Expanded,Sound Therapy Thermometer / Sweet Spot Slider,Sound Therapy Sweet Spot Reflection,,Edited Education Text -> Audio Transcript
Sound Therapy,10,Expanded,The three volume zones,"The bottom zone is too quiet: the sound therapy is not audible enough to help. The top zone is too loud: the sound covers tinnitus completely, which may be useful briefly but is not the main long-term goal.

The middle zone is the target. You can hear the sound therapy and still have some awareness of tinnitus. That overlap gives the brain a chance to practice hearing tinnitus without treating it as the only sound that matters.",ST-V5-010,"The bottom zone is too quiet: the sound therapy is not audible enough to help. The top zone is too loud: the sound covers tinnitus completely, which may be useful briefly but is not the main long-term goal.

The middle zone is the target. You can hear the sound therapy and still have some awareness of tinnitus. That overlap gives the brain a chance to practice hearing tinnitus without treating it as the only sound that matters.",45-75 sec,20-45 sec,77,Expanded,Sound Therapy Thermometer zones: too quiet / sweet spot / too loud,Sound Therapy Sweet Spot Reflection,,Current Education Text -> Audio Transcript
Sound Therapy,11,Expanded,Important terms,"Habituation means the brain adapts and becomes less reactive to a repeated stimulus. When habituation happens with tinnitus, you may still notice tinnitus if you listen for it, but it no longer creates the same stress or urgency.

Sound therapy means using gentle background sound to reduce the impact of tinnitus and support habituation. An external sound source is any device or method that delivers that sound, such as a fan, speaker, phone app, sound machine, hearing aids, or open-ear headphones.",ST-V5-011,"Habituation means the brain adapts and becomes less reactive to a repeated stimulus. When habituation happens with tinnitus, you may still notice tinnitus if you listen for it, but it no longer creates the same stress or urgency.

Sound therapy means using gentle background sound to reduce the impact of tinnitus and support habituation. An external sound source is any device or method that delivers that sound, such as a fan, speaker, phone app, sound machine, hearing aids, or open-ear headphones.",45-75 sec,20-45 sec,81,Expanded,Expandable terms drawer,,,Edited Education Text -> Audio Transcript
Sound Therapy,12,Expanded,Choosing sounds,"There is no perfect sound for everyone. Some people like rain, ocean waves, crickets, fans, white noise, pink noise, gentle music, or other steady sounds. Some people like sounds that another person would find irritating. If it helps you and you can use it comfortably, it can be a good sound for you.

The best starting point is to try a few neutral or pleasant sounds and notice which ones feel comfortable or soothing. If a sound becomes annoying, you are not doing anything wrong. Try a different sound or change the setting.",ST-V5-012,"There is no perfect sound for everyone. Some people like rain, ocean waves, crickets, fans, white noise, pink noise, gentle music, or other steady sounds. Some people like sounds that another person would find irritating. If it helps you and you can use it comfortably, it can be a good sound for you.

The best starting point is to try a few neutral or pleasant sounds and notice which ones feel comfortable or soothing. If a sound becomes annoying, you are not doing anything wrong. Try a different sound or change the setting.",45-75 sec,20-45 sec,93,Expanded,"Sound category cards: broadband, water, rain, fan, crickets, music",Personalized Sound Therapy Plan,,Edited Education Text -> Audio Transcript
Sound Therapy,13,Expanded,Choosing devices and sound sources,"Sound therapy can come from many places: a phone app, small speaker, sound machine, fan, open-ear headphones, bone-conduction headphones, or hearing aids. The right device depends on where you are, what you are doing, and what feels comfortable.

If you have hearing loss, hearing care deserves special attention. Hearing aids can act like a highly personalized form of sound therapy by restoring sounds the brain has been missing. For many people with hearing loss and tinnitus, addressing hearing directly is one of the most useful starting points.",ST-V5-013,"Sound therapy can come from many places: a phone app, small speaker, sound machine, fan, open-ear headphones, bone-conduction headphones, or hearing aids. The right device depends on where you are, what you are doing, and what feels comfortable.

If you have hearing loss, hearing care deserves special attention. Hearing aids can act like a highly personalized form of sound therapy by restoring sounds the brain has been missing. For many people with hearing loss and tinnitus, addressing hearing directly is one of the most useful starting points.",45-75 sec,20-45 sec,87,Expanded,Device cards / hearing care note,Personalized Sound Therapy Plan,,Current Education Text -> Audio Transcript
Sound Therapy,14,Expanded,How to set the volume,"Start with the sound low. Slowly raise it until you can hear the sound therapy clearly. Then notice whether tinnitus is still partly present. If you cannot hear the sound therapy, it is too low. If tinnitus disappears completely, the sound may be louder than you need for everyday sound therapy.

Aim for a comfortable overlap. You should be aware of the support sound, and you may still notice tinnitus, but neither one should feel like it is taking over. The exact level may change from day to day, and that is okay.",ST-V5-014,"Start with the sound low. Slowly raise it until you can hear the sound therapy clearly. Then notice whether tinnitus is still partly present. If you cannot hear the sound therapy, it is too low. If tinnitus disappears completely, the sound may be louder than you need for everyday sound therapy.

Aim for a comfortable overlap. You should be aware of the support sound, and you may still notice tinnitus, but neither one should feel like it is taking over. The exact level may change from day to day, and that is okay.",45-75 sec,20-45 sec,93,Expanded,Volume slider / thermometer,Sound Therapy Sweet Spot Reflection,,Current Education Text -> Audio Transcript
Sound Therapy,15,Expanded,Using sound therapy during the day,"Sound therapy is often most useful during quiet tasks or times when tinnitus tends to grab your attention. You might use it while reading, doing work around the home, working at a desk, relaxing in the evening, or preparing for bed.

Consistency matters more than perfection. You do not need to analyze every minute. The goal is to give your brain repeated, comfortable exposure to a richer sound environment so tinnitus becomes less dominant over time.",ST-V5-015,"Sound therapy is often most useful during quiet tasks or times when tinnitus tends to grab your attention. You might use it while reading, doing work around the home, working at a desk, relaxing in the evening, or preparing for bed.

Consistency matters more than perfection. You do not need to analyze every minute. The goal is to give your brain repeated, comfortable exposure to a richer sound environment so tinnitus becomes less dominant over time.",20-45 sec,20-45 sec,76,Expanded,Daily contexts checklist,Personalized Sound Therapy Plan,,Edited Education Text -> Audio Transcript
Sound Therapy,16,Expanded,Using sound at night,"Many people notice tinnitus more at night because the environment is quieter and there are fewer distractions. Gentle sound at night can make the transition toward sleep feel less like a direct confrontation with tinnitus.

This does not mean sound therapy is a full sleep treatment. It is one supportive tool. If sleep is a persistent problem, or if there are signs of a sleep condition such as sleep apnea, that deserves proper evaluation. But for many people, a comfortable background sound can make bedtime feel less stark and less silent.",ST-V5-016,"Many people notice tinnitus more at night because the environment is quieter and there are fewer distractions. Gentle sound at night can make the transition toward sleep feel less like a direct confrontation with tinnitus.

This does not mean sound therapy is a full sleep treatment. It is one supportive tool. If sleep is a persistent problem, or if there are signs of a sleep condition such as sleep apnea, that deserves proper evaluation. But for many people, a comfortable background sound can make bedtime feel less stark and less silent.",45-75 sec,20-45 sec,91,Expanded,Sleep sound planning card,Bedtime Sound Plan,,Current Education Text -> Audio Transcript
Sound Therapy,17,Expanded,How sound therapy supports the rest of the app,"Sound therapy is the main auditory tool in this app, but it works best as part of a bigger approach. Comfortable sound can make mindfulness easier, support distress tolerance, reduce the feeling of being trapped in silence, and give you a better environment for practicing acceptance and cognitive reframing.

That is why sound therapy appears in more than one place. It is not just a sound tool. It is a foundation that can support emotional regulation, attention flexibility, sleep routines, and everyday re-engagement.",ST-V5-017,"Sound therapy is the main auditory tool in this app, but it works best as part of a bigger approach. Comfortable sound can make mindfulness easier, support distress tolerance, reduce the feeling of being trapped in silence, and give you a better environment for practicing acceptance and cognitive reframing.

That is why sound therapy appears in more than one place. It is not just a sound tool. It is a foundation that can support emotional regulation, attention flexibility, sleep routines, and everyday re-engagement.",45-75 sec,20-45 sec,83,Expanded,Connection map: sound therapy -> mindfulness / distress / sleep / acceptance,,,Current Education Text -> Audio Transcript
