loop,queue_order,section_header,audio_segment_id,audio_label,audio_transcript,target_audio_length,estimated_audio_length,audio_word_count,playback_behavior,default_state,sync_source
Sound Therapy,7,Masking is not the same as sound therapy,ST-V5-007,Masking is not the same as sound therapy,"Many people use the word masking to mean any use of sound for tinnitus, but full masking and sound therapy are not the same thing. Full masking means turning sound up until tinnitus is completely covered. That can be useful for a short break or a high-distress moment, but it is not the main goal of sound therapy, as we discuss it here.

Sound therapy usually works best when it supports adaptation. That means the sound is comfortable and present, while tinnitus may still be partly audible. In that volume range, the brain can begin learning that tinnitus does not need to dominate or trigger constant monitoring.",45-75 sec,20-45 sec,107,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Sound Therapy,8,Short-term relief and long-term adaptation,ST-V5-008,Short-term relief and long-term adaptation,"Full masking can feel good because it gives immediate relief from hearing tinnitus. The limitation is that the relief often stops when the masking sound stops. If the brain only learns that tinnitus must be hidden, tinnitus may feel more threatening when it returns.

A habituation-oriented sound therapy approach is different. It allows some awareness of tinnitus while adding a steady, supportive sound. This can help the brain learn that tinnitus is present but not urgent. That learning is usually slower than short-term masking, but it is often more useful for daily management.",45-75 sec,20-45 sec,93,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Sound Therapy,9,Finding the sound therapy sweet spot,ST-V5-009,Finding the sound therapy sweet spot,"The sound therapy sweet spot is the range where you can hear both the sound therapy and your tinnitus. If the sound therapy is too quiet, it may not give your brain enough input to work with. If it is too loud and completely covers tinnitus, it may become more about escaping the sound than adapting to it.

The middle volume range is usually the most helpful. In that range, tinnitus is present, but it is not alone. Sound therapy becomes a calm companion to your listening environment rather than a battle to overpower tinnitus.",45-75 sec,20-45 sec,95,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Sound Therapy,10,The three volume zones,ST-V5-010,The three volume zones,"The bottom zone is too quiet: the sound therapy is not audible enough to help. The top zone is too loud: the sound covers tinnitus completely, which may be useful briefly but is not the main long-term goal.

The middle zone is the target. You can hear the sound therapy and still have some awareness of tinnitus. That overlap gives the brain a chance to practice hearing tinnitus without treating it as the only sound that matters.",45-75 sec,20-45 sec,77,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Sound Therapy,11,Important terms,ST-V5-011,Important terms,"Habituation means the brain adapts and becomes less reactive to a repeated stimulus. When habituation happens with tinnitus, you may still notice tinnitus if you listen for it, but it no longer creates the same stress or urgency.

Sound therapy means using gentle background sound to reduce the impact of tinnitus and support habituation. An external sound source is any device or method that delivers that sound, such as a fan, speaker, phone app, sound machine, hearing aids, or open-ear headphones.",45-75 sec,20-45 sec,81,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Sound Therapy,12,Choosing sounds,ST-V5-012,Choosing sounds,"There is no perfect sound for everyone. Some people like rain, ocean waves, crickets, fans, white noise, pink noise, gentle music, or other steady sounds. Some people like sounds that another person would find irritating. If it helps you and you can use it comfortably, it can be a good sound for you.

The best starting point is to try a few neutral or pleasant sounds and notice which ones feel comfortable or soothing. If a sound becomes annoying, you are not doing anything wrong. Try a different sound or change the setting.",45-75 sec,20-45 sec,93,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Sound Therapy,13,Choosing devices and sound sources,ST-V5-013,Choosing devices and sound sources,"Sound therapy can come from many places: a phone app, small speaker, sound machine, fan, open-ear headphones, bone-conduction headphones, or hearing aids. The right device depends on where you are, what you are doing, and what feels comfortable.

If you have hearing loss, hearing care deserves special attention. Hearing aids can act like a highly personalized form of sound therapy by restoring sounds the brain has been missing. For many people with hearing loss and tinnitus, addressing hearing directly is one of the most useful starting points.",45-75 sec,20-45 sec,87,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Sound Therapy,14,How to set the volume,ST-V5-014,How to set the volume,"Start with the sound low. Slowly raise it until you can hear the sound therapy clearly. Then notice whether tinnitus is still partly present. If you cannot hear the sound therapy, it is too low. If tinnitus disappears completely, the sound may be louder than you need for everyday sound therapy.

Aim for a comfortable overlap. You should be aware of the support sound, and you may still notice tinnitus, but neither one should feel like it is taking over. The exact level may change from day to day, and that is okay.",45-75 sec,20-45 sec,93,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Sound Therapy,15,Using sound therapy during the day,ST-V5-015,Using sound therapy during the day,"Sound therapy is often most useful during quiet tasks or times when tinnitus tends to grab your attention. You might use it while reading, doing work around the home, working at a desk, relaxing in the evening, or preparing for bed.

Consistency matters more than perfection. You do not need to analyze every minute. The goal is to give your brain repeated, comfortable exposure to a richer sound environment so tinnitus becomes less dominant over time.",20-45 sec,20-45 sec,76,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Sound Therapy,16,Using sound at night,ST-V5-016,Using sound at night,"Many people notice tinnitus more at night because the environment is quieter and there are fewer distractions. Gentle sound at night can make the transition toward sleep feel less like a direct confrontation with tinnitus.

This does not mean sound therapy is a full sleep treatment. It is one supportive tool. If sleep is a persistent problem, or if there are signs of a sleep condition such as sleep apnea, that deserves proper evaluation. But for many people, a comfortable background sound can make bedtime feel less stark and less silent.",45-75 sec,20-45 sec,91,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Sound Therapy,17,How sound therapy supports the rest of the app,ST-V5-017,How sound therapy supports the rest of the app,"Sound therapy is the main auditory tool in this app, but it works best as part of a bigger approach. Comfortable sound can make mindfulness easier, support distress tolerance, reduce the feeling of being trapped in silence, and give you a better environment for practicing acceptance and cognitive reframing.

That is why sound therapy appears in more than one place. It is not just a sound tool. It is a foundation that can support emotional regulation, attention flexibility, sleep routines, and everyday re-engagement.",45-75 sec,20-45 sec,83,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Sound Therapy,18,If sound feels sensitive,ST-V5-018,If sound feels sensitive,"Tinnitus and sound sensitivity often travel together. If ordinary sound feels sharp, uncomfortable, or threatening, it can be tempting to avoid sound as much as possible. That reaction makes sense, but living in a quieter and quieter world can sometimes keep the sound system on high alert.

For sound sensitivity, the same basic principle still applies: comfortable, controlled sound can help the system feel safer over time. The key is not to push into volume levels that are uncomfortable or painful. Start gently, stay below the point of sensitivity, and use sounds that feel enjoyable or neutral.",45-75 sec,20-45 sec,97,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Sound Therapy,19,Enjoyable music speaker practice,ST-V5-019,Enjoyable music speaker practice,"One simple sound-sensitivity practice is to use enjoyable music on speakers for 10 to 15 minutes. Start with the volume all the way down. Slowly raise it until you begin to notice sensitivity, then lower it slightly below that point. Listen only if it feels comfortable.

The purpose is not to tolerate bothersome sound levels. The purpose is to give your brain and body a controlled sound experience where nothing bad happens. If the level changes from day to day, treat that information non-judgmentally.",45-75 sec,20-45 sec,84,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Sound Therapy,20,FAQ: How loud should sound therapy be?,ST-V5-020,FAQ: How loud should sound therapy be?,"A useful starting point is just below the level where sound therapy would completely cover tinnitus. You want to hear the support sound and still have some awareness of tinnitus. That overlap is what makes it sound therapy rather than simply blocking tinnitus out.

There may be moments when fuller masking is useful for a short break. For daily management, though, the balanced volume level is usually the better target.",20-45 sec,20-45 sec,70,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Edited Education Text -> Audio Transcript
Sound Therapy,21,FAQ: Does the type of sound matter?,ST-V5-021,FAQ: Does the type of sound matter?,"The type of sound matters mostly because you need to be able to use it comfortably. Nature sounds, steady noise, fan sounds, gentle music, crickets, or water sounds can all be reasonable options.

The best sound is not the one someone else calls perfect. It is the one that works for your ears, your environment, and your nervous system on that day.",20-45 sec,20-45 sec,62,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Sound Therapy,22,FAQ: Will sound therapy get rid of tinnitus?,ST-V5-022,FAQ: Will sound therapy get rid of tinnitus?,"Sound therapy is not a promise that tinnitus will disappear. The more realistic goal is that tinnitus becomes less dominant, less threatening, and easier to live with.

Many people find that sound therapy helps reduce distress even when tinnitus is still present. That distinction is important: improvement can mean a better relationship with tinnitus, not only a change in the sound itself.",20-45 sec,20-45 sec,62,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Sound Therapy,23,FAQ: When should I use sound therapy?,ST-V5-023,FAQ: When should I use sound therapy?,"Use sound therapy when it helps you stay engaged with your life. That might mean quiet work, reading, relaxing, evening routines, or getting ready for sleep. The goal is not to become dependent on sound every moment of the day.

Use it as support. If you notice that you are using sound only to avoid ever hearing tinnitus, return to the sweet spot idea and the Acceptance and Change section.",20-45 sec,20-45 sec,70,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Sound Therapy,24,Main points to remember,ST-V5-024,Main points to remember,"Sound therapy adds comfortable outside sound so tinnitus is not alone in silence. The sound should usually be audible but not overpowering. Consistency matters, and the sound you choose should be something you can use comfortably over time.

Sound therapy is also more powerful when it is combined with the rest of tinnitus management. It can support mindfulness, distress tolerance, sleep routines, cognitive reframing, and a more flexible relationship with tinnitus.",20-45 sec,20-45 sec,71,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Sound Therapy,25,Before you move on,ST-V5-025,Before you move on,"Before you leave this section, choose one small way you could use sound therapy this week. Keep it simple: one sound, one device, one situation. You can always adjust later.

It also helps to write a reminder to be patient with yourself. Sound therapy is a learning process. Some days will be easier than others, and needing to adjust the sound does not mean you are failing. It means you are listening and responding.",20-45 sec,20-45 sec,74,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Sound Therapy,26,Sound safety and when to seek help,ST-V5-026,Sound safety and when to seek help,"Use comfortable sound. Do not push into painful volume. If sound sensitivity is severe, worsening, or interfering with daily life, professional guidance can help. If you have hearing loss, sudden hearing changes, one-sided symptoms, pulsatile tinnitus, dizziness, neurological symptoms, or other medical concerns, consider appropriate hearing healthcare or medical evaluation.

This app teaches sound therapy as an educational self-management tool. It does not replace audiology, ENT, mental health care, sleep medicine, or emergency care when those are needed.",45-75 sec,20-45 sec,78,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Acceptance and Change,1,Acceptance and change can work together,ACPT-V5-001,Acceptance and change can work together,"When tinnitus feels difficult, it is natural to want it gone. That reaction makes sense. The problem is that tinnitus does not always respond to force, and the harder you fight to make it disappear in a single moment, the more your attention and energy can become wrapped around it.

Acceptance does not mean giving up. In this section, acceptance means acknowledging what is happening right now so you can use your energy more wisely. Change means taking practical steps that reduce distress, support daily life, and help you stay connected to what matters.",60-90 sec,20-45 sec,94,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,2,What you will learn,ACPT-V5-002,What you will learn,"By the end of this section, you should be able to tell the difference between acceptance and giving up, recognize how avoidance can make tinnitus more frustrating, describe how acceptance and change can happen at the same time, and practice at least one acceptance-based exercise for tinnitus-related stress.",20-45 sec,20-45 sec,48,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,3,Pause and reflect: what happened last time?,ACPT-V5-003,Pause and reflect: what happened last time?,"Think about a recent moment when tinnitus made you angry, upset, or tense. What did you do to handle that feeling? Did your response lower the stress, or did it keep the struggle going?

Now ask one small question: if I had accepted that tinnitus was present in that moment, stoping the fight against it without liking it or approving of it, what might have felt different?",20-45 sec,20-45 sec,67,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Acceptance and Change,4,Acceptance means noticing what is here,ACPT-V5-004,Acceptance means noticing what is here,"Acceptance means allowing yourself to notice that tinnitus is present without spending all your energy trying to erase it. It does not mean you like tinnitus. It does not mean you want it to stay. It does not mean you believe nothing can improve.

It means you are starting from reality: tinnitus is here right now, and the next useful step probably will not come from arguing with that fact.",20-45 sec,20-45 sec,70,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,5,Change means acting where you have influence,ACPT-V5-005,Change means acting where you have influence,"Change means taking active steps to improve your life and reduce distress. That might mean using sound therapy, asking for support, practicing mindfulness, communicating a need, or returning to an activity tinnitus has pushed aside.

Change does not have to mean forcing tinnitus to disappear. It can mean making today more workable, your environment more supportive, and your reactions less controlled by the sound.",20-45 sec,20-45 sec,64,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,6,Acceptance is not resignation,ACPT-V5-006,Acceptance is not resignation,"Many people hear the word acceptance and think it means throwing in the towel. That is not what we mean here.

Resignation says, “Nothing can change, so why try?” Acceptance says, “This is the situation I am in right now, and I can still choose the next useful step.” Acceptance is active. It helps you stop fighting the impossible in this moment so you can put effort into something that may actually help.",20-45 sec,20-45 sec,73,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,7,Why trying only to eliminate tinnitus can backfire,ACPT-V5-007,Why trying only to eliminate tinnitus can backfire,"At the beginning, many people put all their energy into making tinnitus vanish. They may avoid quiet places, stop doing things they enjoy, search constantly for cures, or feel crushed whenever a treatment does not work right away.

Those reactions are understandable. But when your whole life becomes organized around eliminating tinnitus, tinnitus can become even more central. The struggle itself starts taking up the space that your routines, relationships, hobbies, and rest used to occupy.",60-90 sec,20-45 sec,76,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,8,Avoidance can make life smaller,ACPT-V5-008,Avoidance can make life smaller,"Avoidance can bring short-term relief. Masking tinnitus fully, leaving a quiet room, canceling plans, or checking the internet again may feel like it lowers distress for a moment. The problem is that avoidance can also teach the brain that tinnitus is something you cannot face.

Over time, the world may get smaller. Acceptance helps reverse that pattern by asking, “What can I allow for this moment, and what useful action can I take anyway?”",20-45 sec,20-45 sec,74,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Acceptance and Change,9,Sound therapy shows acceptance and change together,ACPT-V5-009,Sound therapy shows acceptance and change together,"Sound therapy is a good example of acceptance and change working together. If you use sound only to cover tinnitus completely all day, the purpose becomes escape. That may help briefly, but it can also keep the brain from learning that tinnitus is safe enough to tune out.

When sound therapy is set in the middle volume range, where you can hear the support sound and may still notice tinnitus, you are accepting enough of the sound for the brain to learn while still changing the environment to make it easier to tolerate.",60-90 sec,20-45 sec,93,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Acceptance and Change,10,The Yes AND mindset,ACPT-V5-010,The Yes AND mindset,"The Yes AND mindset comes from the idea that two truths can exist at the same time. You can acknowledge tinnitus honestly and still take a useful next step.

For example: “Yes, my tinnitus is tough today, and I can use a gentle background sound while I get ready.” Or, “Yes, I wish this were different, and I can still go to dinner with friends.” The first half is acceptance. The second half is change.",20-45 sec,20-45 sec,75,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,11,Two truths can sit next to each other,ACPT-V5-011,Two truths can sit next to each other,"Without this kind of both-and thinking, tinnitus can push you toward all-or-nothing choices: either I fix this completely, or my life is ruined. That trap is exhausting.

A more balanced view says: tinnitus can be present, and I can still take care of myself. I can dislike this sound, and I can still choose something meaningful. I can want improvement, and I can stop demanding that everything change before I live my life.",20-45 sec,20-45 sec,73,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,12,The tug-of-war with tinnitus,ACPT-V5-012,The tug-of-war with tinnitus,"Imagine tinnitus on the other side of a rope in a tug of war. You pull harder and harder, trying to win. But the more you pull, the more tired and stuck you become.

Pulling the rope might look like masking tinnitus every moment, avoiding quiet places, arguing with the sound in your mind, or searching for answers long after the search has stopped helping. The question is not whether those reactions make sense. They do, and are reasonable things to do at first. The question is whether staying in the tug-of-war is giving you your life back.",60-90 sec,20-45 sec,98,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
