audio_id,status,module,title,rendered_filename,normalized_filename,original_asset_path,final_asset_path,size_bytes,duration_seconds,bit_rate,sample_rate,channels,codec
ACPT-V5-011,matched_imported,Acceptance and Change,Two truths can sit next to each other,ACPT-V5-011.mp3,ACPT-V5-011.mp3,audio/v5/acceptance_and_change/acpt_v5_011.m4a,audio/narration/ACPT-V5-011.mp3,465650,29.074286,128000,44100,1,mp3
ACPT-V5-012,manifest_missing_from_full_render_existing_resource,Acceptance and Change,The tug-of-war with tinnitus,,,audio/narration/ACPT-V5-012.mp3,audio/narration/ACPT-V5-012.mp3,607756,37.955918,128000,44100,1,mp3
ACPT-V5-013,matched_imported,Acceptance and Change,What would dropping the rope mean?,ACPT-V5-013.mp3,ACPT-V5-013.mp3,audio/v5/acceptance_and_change/acpt_v5_013.m4a,audio/narration/ACPT-V5-013.mp3,450186,28.107755,128000,44100,1,mp3
ACPT-V5-014,matched_imported,Acceptance and Change,Important term: acceptance,ACPT-V5-014.mp3,ACPT-V5-014.mp3,audio/v5/acceptance_and_change/acpt_v5_014.m4a,audio/narration/ACPT-V5-014.mp3,258342,16.117551,128000,44100,1,mp3
ACPT-V5-015,matched_imported,Acceptance and Change,Important term: change,ACPT-V5-015.mp3,ACPT-V5-015.mp3,audio/v5/acceptance_and_change/acpt_v5_015.m4a,audio/narration/ACPT-V5-015.mp3,280076,17.475918,128000,44100,1,mp3
ACPT-V5-016,matched_imported,Acceptance and Change,Important term: dialectical thinking,ACPT-V5-016.mp3,ACPT-V5-016.mp3,audio/v5/acceptance_and_change/acpt_v5_016.m4a,audio/narration/ACPT-V5-016.mp3,289271,18.050612,128000,44100,1,mp3
ACPT-V5-017,matched_imported,Acceptance and Change,Important term: experiential avoidance,ACPT-V5-017.mp3,ACPT-V5-017.mp3,audio/v5/acceptance_and_change/acpt_v5_017.m4a,audio/narration/ACPT-V5-017.mp3,290525,18.128980,128000,44100,1,mp3
ACPT-V5-018,matched_imported,Acceptance and Change,Step one: notice the fight,ACPT-V5-018.mp3,ACPT-V5-018.mp3,audio/v5/acceptance_and_change/acpt_v5_018.m4a,audio/narration/ACPT-V5-018.mp3,395433,24.685714,128000,44100,1,mp3
ACPT-V5-019,matched_imported,Acceptance and Change,Step two: choose one useful action,ACPT-V5-019.mp3,ACPT-V5-019.mp3,audio/v5/acceptance_and_change/acpt_v5_019.m4a,audio/narration/ACPT-V5-019.mp3,346532,21.629388,128000,44100,1,mp3
ACPT-V5-020,matched_imported,Acceptance and Change,Reconnecting with what matters,ACPT-V5-020.mp3,ACPT-V5-020.mp3,audio/v5/acceptance_and_change/acpt_v5_020.m4a,audio/narration/ACPT-V5-020.mp3,477353,29.805714,128000,44100,1,mp3
ACPT-V5-021,matched_imported,Acceptance and Change,Why this mindset supports the rest of the app,ACPT-V5-021.mp3,ACPT-V5-021.mp3,audio/v5/acceptance_and_change/acpt_v5_021.m4a,audio/narration/ACPT-V5-021.mp3,578499,36.127347,128000,44100,1,mp3
ACPT-V5-022,matched_imported,Acceptance and Change,FAQ: Is acceptance the same as doing nothing?,ACPT-V5-022.mp3,ACPT-V5-022.mp3,audio/v5/acceptance_and_change/acpt_v5_022.m4a,audio/narration/ACPT-V5-022.mp3,277568,17.319184,128000,44100,1,mp3
ACPT-V5-023,matched_imported,Acceptance and Change,"FAQ: If I stop trying to fix tinnitus, won’t it get worse?",ACPT-V5-023.mp3,ACPT-V5-023.mp3,audio/v5/acceptance_and_change/acpt_v5_023.m4a,audio/narration/ACPT-V5-023.mp3,281330,17.554286,128000,44100,1,mp3
ACPT-V5-024,matched_imported,Acceptance and Change,FAQ: Does acceptance mean I am stuck with tinnitus forever?,ACPT-V5-024.mp3,ACPT-V5-024.mp3,audio/v5/acceptance_and_change/acpt_v5_024.m4a,audio/narration/ACPT-V5-024.mp3,222398,13.871020,128000,44100,1,mp3
ACPT-V5-025,matched_imported,Acceptance and Change,FAQ: How can I accept tinnitus when it feels overwhelming?,ACPT-V5-025.mp3,ACPT-V5-025.mp3,audio/v5/acceptance_and_change/acpt_v5_025.m4a,audio/narration/ACPT-V5-025.mp3,281330,17.554286,128000,44100,1,mp3
ACPT-V5-026,matched_imported,Acceptance and Change,Practice: Yes AND,ACPT-V5-026.mp3,ACPT-V5-026.mp3,audio/v5/acceptance_and_change/acpt_v5_026.m4a,audio/narration/ACPT-V5-026.mp3,436393,27.245714,128000,44100,1,mp3
ACPT-V5-027,matched_imported,Acceptance and Change,Practice: Reconnection with What Matters,ACPT-V5-027.mp3,ACPT-V5-027.mp3,audio/v5/acceptance_and_change/acpt_v5_027.m4a,audio/narration/ACPT-V5-027.mp3,332739,20.767347,128000,44100,1,mp3
ACPT-V5-028,matched_imported,Acceptance and Change,Main points,ACPT-V5-028.mp3,ACPT-V5-028.mp3,audio/v5/acceptance_and_change/acpt_v5_028.m4a,audio/narration/ACPT-V5-028.mp3,464396,28.995918,128000,44100,1,mp3
ACPT-V5-029,matched_imported,Acceptance and Change,Before you move on,ACPT-V5-029.mp3,ACPT-V5-029.mp3,audio/v5/acceptance_and_change/acpt_v5_029.m4a,audio/narration/ACPT-V5-029.mp3,330231,20.610612,128000,44100,1,mp3
ACPT-V5-030,matched_imported,Acceptance and Change,Scope and safety,ACPT-V5-030.mp3,ACPT-V5-030.mp3,audio/v5/acceptance_and_change/acpt_v5_030.m4a,audio/narration/ACPT-V5-030.mp3,461888,28.839184,128000,44100,1,mp3
APP-MP-001,matched_imported,My Plan,What My Plan is,APP-MP-001.mp3,APP-MP-001.mp3,audio/v5/my_plan/app_mp_001.m4a,audio/narration/APP-MP-001.mp3,241624,15.072653,128000,44100,1,mp3
APP-MP-002,matched_imported,My Plan,What belongs in My Plan,APP-MP-002.mp3,APP-MP-002.mp3,audio/v5/my_plan/app_mp_002.m4a,audio/narration/APP-MP-002.mp3,303064,18.912653,128000,44100,1,mp3
APP-MP-003,manifest_missing_from_full_render_existing_resource,My Plan,Three Lines Journal,,,audio/narration/APP-MP-003.mp3,audio/narration/APP-MP-003.mp3,301810,18.834286,128000,44100,1,mp3
APP-MP-004,matched_imported,My Plan,"The point is reflection, not proof",APP-MP-004.mp3,APP-MP-004.mp3,audio/v5/my_plan/app_mp_004.m4a,audio/narration/APP-MP-004.mp3,239116,14.915918,128000,44100,1,mp3
APP-MP-005,matched_imported,My Plan,Past entries and exercise records,APP-MP-005.mp3,APP-MP-005.mp3,audio/v5/my_plan/app_mp_005.m4a,audio/narration/APP-MP-005.mp3,229085,14.288980,128000,44100,1,mp3
AT-000-OV,manifest_missing_from_full_render_existing_resource,About Tinnitus,Why Tinnitus Is More Than Noise,,,audio/narration/AT-000-OV.mp3,audio/narration/AT-000-OV.mp3,409226,25.547755,128000,44100,1,mp3
AT-001-SEEING,matched_imported,About Tinnitus,Seeing the whole picture,AT-001-SEEING.mp3,AT-001-SEEING.mp3,audio/v5/about_tinnitus/at_001_seeing.m4a,audio/narration/AT-001-SEEING.mp3,538793,33.645714,128000,44100,1,mp3
AT-002-BEYOND,manifest_missing_from_full_render_existing_resource,About Tinnitus,Why go beyond the sound?,,,audio/narration/AT-002-BEYOND.mp3,audio/narration/AT-002-BEYOND.mp3,581007,36.284082,128000,44100,1,mp3
AT-003-BODY,matched_imported,About Tinnitus,"Body: hearing, sound, and the nervous system",AT-003-BODY.mp3,AT-003-BODY.mp3,audio/v5/about_tinnitus/at_003_body.m4a,audio/narration/AT-003-BODY.mp3,519567,32.444082,128000,44100,1,mp3
AT-004-MIND,matched_imported,About Tinnitus,"Mind: attention, emotion, and meaning",AT-004-MIND.mp3,AT-004-MIND.mp3,audio/v5/about_tinnitus/at_004_mind.m4a,audio/narration/AT-004-MIND.mp3,566796,35.395918,128000,44100,1,mp3
AT-005-LIFE,matched_imported,About Tinnitus,"Life: sleep, routines, relationships, and the world around you",AT-005-LIFE.mp3,AT-005-LIFE.mp3,audio/v5/about_tinnitus/at_005_life.m4a,audio/narration/AT-005-LIFE.mp3,495325,30.928980,128000,44100,1,mp3
AT-006-MULTIMODAL,matched_imported,About Tinnitus,What “multimodal” means,AT-006-MULTIMODAL.mp3,AT-006-MULTIMODAL.mp3,audio/v5/about_tinnitus/at_006_multimodal.m4a,audio/narration/AT-006-MULTIMODAL.mp3,541301,33.802449,128000,44100,1,mp3
AT-007-HOW,matched_imported,About Tinnitus,How to use this app,AT-007-HOW.mp3,AT-007-HOW.mp3,audio/v5/about_tinnitus/at_007_how.m4a,audio/narration/AT-007-HOW.mp3,471919,29.466122,128000,44100,1,mp3
AT-008-SUPPORT,matched_imported,About Tinnitus,When extra support can help,AT-008-SUPPORT.mp3,AT-008-SUPPORT.mp3,audio/v5/about_tinnitus/at_008_support.m4a,audio/narration/AT-008-SUPPORT.mp3,507864,31.712653,128000,44100,1,mp3
AT-009-EFFORT,matched_imported,About Tinnitus,Small efforts can build control,AT-009-EFFORT.mp3,AT-009-EFFORT.mp3,audio/v5/about_tinnitus/at_009_effort.m4a,audio/narration/AT-009-EFFORT.mp3,497833,31.085714,128000,44100,1,mp3
AT-010-PAUSE,matched_imported,About Tinnitus,Pause & Reflect: Why am I doing this?,AT-010-PAUSE.mp3,AT-010-PAUSE.mp3,audio/v5/about_tinnitus/at_010_pause.m4a,audio/narration/AT-010-PAUSE.mp3,523328,32.679184,128000,44100,1,mp3
AT-011-BML-EX,matched_imported,About Tinnitus,Body / Mind / Life Exploration,AT-011-BML-EX.mp3,AT-011-BML-EX.mp3,audio/v5/about_tinnitus/at_011_bml_ex.m4a,audio/narration/AT-011-BML-EX.mp3,587276,36.675918,128000,44100,1,mp3
AT-012-POINTS,matched_imported,About Tinnitus,Main points before you move on,AT-012-POINTS.mp3,AT-012-POINTS.mp3,audio/v5/about_tinnitus/at_012_points.m4a,audio/narration/AT-012-POINTS.mp3,536285,33.488980,128000,44100,1,mp3
AT-013-NEXT,matched_imported,About Tinnitus,A good next step: Sound Therapy,AT-013-NEXT.mp3,AT-013-NEXT.mp3,audio/v5/about_tinnitus/at_013_next.m4a,audio/narration/AT-013-NEXT.mp3,409226,25.547755,128000,44100,1,mp3
AT-014-SAFETY,matched_imported,About Tinnitus,Scope and safety,AT-014-SAFETY.mp3,AT-014-SAFETY.mp3,audio/v5/about_tinnitus/at_014_safety.m4a,audio/narration/AT-014-SAFETY.mp3,634506,39.627755,128000,44100,1,mp3
AUD-CR-01,matched_imported,Cognitive Reframing,Cognitive Reframing: Challenging Negative Thought Patterns,AUD-CR-01.mp3,AUD-CR-01.mp3,audio/v5/cognitive_reframing/aud_cr_01.m4a,audio/narration/AUD-CR-01.mp3,487384,30.432653,128000,44100,1,mp3
AUD-CR-02,matched_imported,Cognitive Reframing,What You’ll Learn in This Section,AUD-CR-02.mp3,AUD-CR-02.mp3,audio/v5/cognitive_reframing/aud_cr_02.m4a,audio/narration/AUD-CR-02.mp3,419675,26.200816,128000,44100,1,mp3
AUD-CR-03,matched_imported,Cognitive Reframing,Why Tinnitus Thoughts Can Move So Fast,AUD-CR-03.mp3,AUD-CR-03.mp3,audio/v5/cognitive_reframing/aud_cr_03.m4a,audio/narration/AUD-CR-03.mp3,497833,31.085714,128000,44100,1,mp3
AUD-CR-04,matched_imported,Cognitive Reframing,"The Thoughts, Feelings, and Behaviors Loop",AUD-CR-04.mp3,AUD-CR-04.mp3,audio/v5/cognitive_reframing/aud_cr_04.m4a,audio/narration/AUD-CR-04.mp3,500341,31.242449,128000,44100,1,mp3
AUD-CR-05,manifest_missing_from_full_render_existing_resource,Cognitive Reframing,Reality-Checking Your Mind,,,audio/narration/AUD-CR-05.mp3,audio/narration/AUD-CR-05.mp3,469412,29.309388,128000,44100,1,mp3
AUD-CR-06,matched_imported,Cognitive Reframing,Pause and Look Back on a Quick Reaction,AUD-CR-06.mp3,AUD-CR-06.mp3,audio/v5/cognitive_reframing/aud_cr_06.m4a,audio/narration/AUD-CR-06.mp3,412151,25.730612,128000,44100,1,mp3
AUD-CR-07,matched_imported,Cognitive Reframing,"Accurate Thinking, Not Forced Positivity",AUD-CR-07.mp3,AUD-CR-07.mp3,audio/v5/cognitive_reframing/aud_cr_07.m4a,audio/narration/AUD-CR-07.mp3,455619,28.447347,128000,44100,1,mp3
AUD-CR-08,matched_imported,Cognitive Reframing,Why Reframing Helps Even If the Sound Is Still There,AUD-CR-08.mp3,AUD-CR-08.mp3,audio/v5/cognitive_reframing/aud_cr_08.m4a,audio/narration/AUD-CR-08.mp3,410479,25.626122,128000,44100,1,mp3
AUD-CR-09,matched_imported,Cognitive Reframing,Using the Same Skill with Sound Sensitivity,AUD-CR-09.mp3,AUD-CR-09.mp3,audio/v5/cognitive_reframing/aud_cr_09.m4a,audio/narration/AUD-CR-09.mp3,404210,25.234286,128000,44100,1,mp3
AUD-CR-10,matched_imported,Cognitive Reframing,Example: A Loud Tinnitus Morning,AUD-CR-10.mp3,AUD-CR-10.mp3,audio/v5/cognitive_reframing/aud_cr_10.m4a,audio/narration/AUD-CR-10.mp3,396687,24.764082,128000,44100,1,mp3
AUD-CR-11,matched_imported,Cognitive Reframing,Term: Cognitive Restructuring,AUD-CR-11.mp3,AUD-CR-11.mp3,audio/v5/cognitive_reframing/aud_cr_11.m4a,audio/narration/AUD-CR-11.mp3,205679,12.826122,128000,44100,1,mp3
AUD-CR-12,matched_imported,Cognitive Reframing,Term: Distorted Thought,AUD-CR-12.mp3,AUD-CR-12.mp3,audio/v5/cognitive_reframing/aud_cr_12.m4a,audio/narration/AUD-CR-12.mp3,273807,17.084082,128000,44100,1,mp3
AUD-CR-13,matched_imported,Cognitive Reframing,Term: Reframing,AUD-CR-13.mp3,AUD-CR-13.mp3,audio/v5/cognitive_reframing/aud_cr_13.m4a,audio/narration/AUD-CR-13.mp3,217382,13.557551,128000,44100,1,mp3
AUD-CR-14,matched_imported,Cognitive Reframing,Term: Behavioral Experiment,AUD-CR-14.mp3,AUD-CR-14.mp3,audio/v5/cognitive_reframing/aud_cr_14.m4a,audio/narration/AUD-CR-14.mp3,291779,18.207347,128000,44100,1,mp3
AUD-CR-15,matched_imported,Cognitive Reframing,Start with Small Thought Moments,AUD-CR-15.mp3,AUD-CR-15.mp3,audio/v5/cognitive_reframing/aud_cr_15.m4a,audio/narration/AUD-CR-15.mp3,422182,26.357551,128000,44100,1,mp3
AUD-CR-16,matched_imported,Cognitive Reframing,You Will Miss Most Thoughts at First,AUD-CR-16.mp3,AUD-CR-16.mp3,audio/v5/cognitive_reframing/aud_cr_16.m4a,audio/narration/AUD-CR-16.mp3,319782,19.957551,128000,44100,1,mp3
AUD-CR-17,manifest_missing_from_full_render_existing_resource,Cognitive Reframing,The Cognitive Distortion Library,,,audio/narration/AUD-CR-17.mp3,audio/narration/AUD-CR-17.mp3,327306,20.427755,128000,44100,1,mp3
AUD-CR-18,matched_imported,Cognitive Reframing,All-or-Nothing Thinking,AUD-CR-18.mp3,AUD-CR-18.mp3,audio/v5/cognitive_reframing/aud_cr_18.m4a,audio/narration/AUD-CR-18.mp3,392925,24.528980,128000,44100,1,mp3
AUD-CR-19,matched_imported,Cognitive Reframing,Overgeneralization,AUD-CR-19.mp3,AUD-CR-19.mp3,audio/v5/cognitive_reframing/aud_cr_19.m4a,audio/narration/AUD-CR-19.mp3,316021,19.722449,128000,44100,1,mp3
AUD-CR-20,matched_imported,Cognitive Reframing,Filtering,AUD-CR-20.mp3,AUD-CR-20.mp3,audio/v5/cognitive_reframing/aud_cr_20.m4a,audio/narration/AUD-CR-20.mp3,224906,14.027755,128000,44100,1,mp3
AUD-CR-21,matched_imported,Cognitive Reframing,Mind Reading,AUD-CR-21.mp3,AUD-CR-21.mp3,audio/v5/cognitive_reframing/aud_cr_21.m4a,audio/narration/AUD-CR-21.mp3,321036,20.035918,128000,44100,1,mp3
AUD-CR-22,matched_imported,Cognitive Reframing,Minimizing,AUD-CR-22.mp3,AUD-CR-22.mp3,audio/v5/cognitive_reframing/aud_cr_22.m4a,audio/narration/AUD-CR-22.mp3,249565,15.568980,128000,44100,1,mp3
AUD-CR-23,matched_imported,Cognitive Reframing,Catastrophizing,AUD-CR-23.mp3,AUD-CR-23.mp3,audio/v5/cognitive_reframing/aud_cr_23.m4a,audio/narration/AUD-CR-23.mp3,319782,19.957551,128000,44100,1,mp3
AUD-CR-24,matched_imported,Cognitive Reframing,Control Fallacies,AUD-CR-24.mp3,AUD-CR-24.mp3,audio/v5/cognitive_reframing/aud_cr_24.m4a,audio/narration/AUD-CR-24.mp3,280076,17.475918,128000,44100,1,mp3
AUD-CR-25,matched_imported,Cognitive Reframing,Heaven’s Reward Fallacy,AUD-CR-25.mp3,AUD-CR-25.mp3,audio/v5/cognitive_reframing/aud_cr_25.m4a,audio/narration/AUD-CR-25.mp3,270045,16.848980,128000,44100,1,mp3
AUD-CR-26,matched_imported,Cognitive Reframing,Labeling,AUD-CR-26.mp3,AUD-CR-26.mp3,audio/v5/cognitive_reframing/aud_cr_26.m4a,audio/narration/AUD-CR-26.mp3,226159,14.106122,128000,44100,1,mp3
AUD-CR-27,matched_imported,Cognitive Reframing,Personalization,AUD-CR-27.mp3,AUD-CR-27.mp3,audio/v5/cognitive_reframing/aud_cr_27.m4a,audio/narration/AUD-CR-27.mp3,286346,17.867755,128000,44100,1,mp3
AUD-CR-28,matched_imported,Cognitive Reframing,Exercise: Identifying and Naming Cognitive Distortions,AUD-CR-28.mp3,AUD-CR-28.mp3,audio/v5/cognitive_reframing/aud_cr_28.m4a,audio/narration/AUD-CR-28.mp3,328559,20.506122,128000,44100,1,mp3
AUD-CR-29,matched_imported,Cognitive Reframing,Exercise: Evidence For-and-Against,AUD-CR-29.mp3,AUD-CR-29.mp3,audio/v5/cognitive_reframing/aud_cr_29.m4a,audio/narration/AUD-CR-29.mp3,295541,18.442449,128000,44100,1,mp3
AUD-CR-30,matched_imported,Cognitive Reframing,Testing a Thought in Real Life,AUD-CR-30.mp3,AUD-CR-30.mp3,audio/v5/cognitive_reframing/aud_cr_30.m4a,audio/narration/AUD-CR-30.mp3,381222,23.797551,128000,44100,1,mp3
AUD-CR-31,matched_imported,Cognitive Reframing,How Reframing Connects to the Bigger Picture,AUD-CR-31.mp3,AUD-CR-31.mp3,audio/v5/cognitive_reframing/aud_cr_31.m4a,audio/narration/AUD-CR-31.mp3,412151,25.730612,128000,44100,1,mp3
AUD-CR-32,matched_imported,Cognitive Reframing,This Skill Can Spread Beyond Tinnitus,AUD-CR-32.mp3,AUD-CR-32.mp3,audio/v5/cognitive_reframing/aud_cr_32.m4a,audio/narration/AUD-CR-32.mp3,351965,21.968980,128000,44100,1,mp3
AUD-CR-33,matched_imported,Cognitive Reframing,FAQ: Is Cognitive Restructuring Forced Positivity?,AUD-CR-33.mp3,AUD-CR-33.mp3,audio/v5/cognitive_reframing/aud_cr_33.m4a,audio/narration/AUD-CR-33.mp3,285092,17.789388,128000,44100,1,mp3
AUD-CR-34,matched_imported,Cognitive Reframing,FAQ: How Do I Know If a Thought Is Distorted?,AUD-CR-34.mp3,AUD-CR-34.mp3,audio/v5/cognitive_reframing/aud_cr_34.m4a,audio/narration/AUD-CR-34.mp3,305572,19.069388,128000,44100,1,mp3
AUD-CR-35,matched_imported,Cognitive Reframing,FAQ: Will Reframing Silence My Tinnitus?,AUD-CR-35.mp3,AUD-CR-35.mp3,audio/v5/cognitive_reframing/aud_cr_35.m4a,audio/narration/AUD-CR-35.mp3,229085,14.288980,128000,44100,1,mp3
AUD-CR-36,matched_imported,Cognitive Reframing,FAQ: Do I Have to Do a Thought Record Every Time?,AUD-CR-36.mp3,AUD-CR-36.mp3,audio/v5/cognitive_reframing/aud_cr_36.m4a,audio/narration/AUD-CR-36.mp3,254581,15.882449,128000,44100,1,mp3
AUD-CR-37,matched_imported,Cognitive Reframing,Main Points,AUD-CR-37.mp3,AUD-CR-37.mp3,audio/v5/cognitive_reframing/aud_cr_37.m4a,audio/narration/AUD-CR-37.mp3,369519,23.066122,128000,44100,1,mp3
AUD-CR-38,matched_imported,Cognitive Reframing,Your Cognitive Reframing Plan,AUD-CR-38.mp3,AUD-CR-38.mp3,audio/v5/cognitive_reframing/aud_cr_38.m4a,audio/narration/AUD-CR-38.mp3,351965,21.968980,128000,44100,1,mp3
AUD-CR-39,matched_imported,Cognitive Reframing,When Thought Work Is Not the First Step,AUD-CR-39.mp3,AUD-CR-39.mp3,audio/v5/cognitive_reframing/aud_cr_39.m4a,audio/narration/AUD-CR-39.mp3,429706,26.827755,128000,44100,1,mp3
AUD-MF-V5-001,matched_imported,Mindfulness,Mindfulness: finding calm in the present moment,AUD-MF-V5-001.mp3,AUD-MF-V5-001.mp3,audio/v5/mindfulness/aud_mf_v5_001.m4a,audio/narration/AUD-MF-V5-001.mp3,386238,24.111020,128000,44100,1,mp3
AUD-MF-V5-002,matched_imported,Mindfulness,What you will practice in this section,AUD-MF-V5-002.mp3,AUD-MF-V5-002.mp3,audio/v5/mindfulness/aud_mf_v5_002.m4a,audio/narration/AUD-MF-V5-002.mp3,378715,23.640816,128000,44100,1,mp3
AUD-MF-V5-003,matched_imported,Mindfulness,What mindfulness means for tinnitus,AUD-MF-V5-003.mp3,AUD-MF-V5-003.mp3,audio/v5/mindfulness/aud_mf_v5_003.m4a,audio/narration/AUD-MF-V5-003.mp3,553839,34.586122,128000,44100,1,mp3
AUD-MF-V5-004,matched_imported,Mindfulness,You do not have to like the ringing,AUD-MF-V5-004.mp3,AUD-MF-V5-004.mp3,audio/v5/mindfulness/aud_mf_v5_004.m4a,audio/narration/AUD-MF-V5-004.mp3,377461,23.562449,128000,44100,1,mp3
AUD-MF-V5-005,manifest_missing_from_full_render_existing_resource,Mindfulness,Mindfulness is not forced silence,,,audio/narration/AUD-MF-V5-005.mp3,audio/narration/AUD-MF-V5-005.mp3,471919,29.466122,128000,44100,1,mp3
AUD-MF-V5-006,matched_imported,Mindfulness,Mindfulness is not the same as relaxation,AUD-MF-V5-006.mp3,AUD-MF-V5-006.mp3,audio/v5/mindfulness/aud_mf_v5_006.m4a,audio/narration/AUD-MF-V5-006.mp3,387492,24.189388,128000,44100,1,mp3
AUD-MF-V5-007,matched_imported,Mindfulness,Neutral observation and non-judgment,AUD-MF-V5-007.mp3,AUD-MF-V5-007.mp3,audio/v5/mindfulness/aud_mf_v5_007.m4a,audio/narration/AUD-MF-V5-007.mp3,456873,28.525714,128000,44100,1,mp3
AUD-MF-V5-008,matched_imported,Mindfulness,Why non-judgment lowers reactivity,AUD-MF-V5-008.mp3,AUD-MF-V5-008.mp3,audio/v5/mindfulness/aud_mf_v5_008.m4a,audio/narration/AUD-MF-V5-008.mp3,428452,26.749388,128000,44100,1,mp3
AUD-MF-V5-009,matched_imported,Mindfulness,Mindfulness can work with sound therapy,AUD-MF-V5-009.mp3,AUD-MF-V5-009.mp3,audio/v5/mindfulness/aud_mf_v5_009.m4a,audio/narration/AUD-MF-V5-009.mp3,404210,25.234286,128000,44100,1,mp3
AUD-MF-V5-010,matched_imported,Mindfulness,Mindfulness supports acceptance,AUD-MF-V5-010.mp3,AUD-MF-V5-010.mp3,audio/v5/mindfulness/aud_mf_v5_010.m4a,audio/narration/AUD-MF-V5-010.mp3,355727,22.204082,128000,44100,1,mp3
AUD-MF-V5-011,matched_imported,Mindfulness,Mini-practice: 3-2-1 senses,AUD-MF-V5-011.mp3,AUD-MF-V5-011.mp3,audio/v5/mindfulness/aud_mf_v5_011.m4a,audio/narration/AUD-MF-V5-011.mp3,419675,26.200816,128000,44100,1,mp3
AUD-MF-V5-012,matched_imported,Mindfulness,Important terms,AUD-MF-V5-012.mp3,AUD-MF-V5-012.mp3,audio/v5/mindfulness/aud_mf_v5_012.m4a,audio/narration/AUD-MF-V5-012.mp3,427198,26.671020,128000,44100,1,mp3
AUD-MF-V5-013,matched_imported,Mindfulness,Putting mindfulness into daily life,AUD-MF-V5-013.mp3,AUD-MF-V5-013.mp3,audio/v5/mindfulness/aud_mf_v5_013.m4a,audio/narration/AUD-MF-V5-013.mp3,433885,27.088980,128000,44100,1,mp3
AUD-MF-V5-014,matched_imported,Mindfulness,Responding instead of reacting,AUD-MF-V5-014.mp3,AUD-MF-V5-014.mp3,audio/v5/mindfulness/aud_mf_v5_014.m4a,audio/narration/AUD-MF-V5-014.mp3,340262,21.237551,128000,44100,1,mp3
AUD-MF-V5-015,matched_imported,Mindfulness,How mindfulness connects to the bigger picture,AUD-MF-V5-015.mp3,AUD-MF-V5-015.mp3,audio/v5/mindfulness/aud_mf_v5_015.m4a,audio/narration/AUD-MF-V5-015.mp3,504102,31.477551,128000,44100,1,mp3
AUD-MF-V5-016,matched_imported,Mindfulness,FAQ: Will mindfulness make me focus on tinnitus more?,AUD-MF-V5-016.mp3,AUD-MF-V5-016.mp3,audio/v5/mindfulness/aud_mf_v5_016.m4a,audio/narration/AUD-MF-V5-016.mp3,339008,21.159184,128000,44100,1,mp3
