Batch,Production Order,Audio ID,Module,Screen ID(s),Topic,Audio Type,Target Length,Estimated TTS Seconds @145wpm,Final Asset Path,Script / Transcript,Production Status,TTS Pass Status,Audio QA Status,Notes
B02 — Sound Therapy,13,AUD-103-S,Sound Therapy,ST-002,Masking vs Habituation,Short explainer,15-30 sec,24,audio/sound_therapy/p_103_aud_103_s_masking_vs_habituation.m4a,"Fully covering tinnitus can feel useful in a moment, but if the goal is to cover it up all day, the brain has less opportunity to adapt. Sound therapy is different: we keep the sound comfortable and present while still allowing some awareness of tinnitus, so the brain can learn that tinnitus does not need to dominate.",Needs final polish before TTS,Not generated,Not checked,Redid this.  Still may need some polish.   | V10 polish applied to fix wording and clarify masking vs sound therapy. | Locked note: final polish pass after screen context.
B02 — Sound Therapy,14,AUD-104-G,Sound Therapy,ST-004,Sound Therapy Thermometer,Exercise walkthrough,60-90 sec,22,audio/sound_therapy/p_104_aud_104_g_sound_therapy_thermometer.m4a,"Start with the sound low and slowly bring it up. If you cannot hear the sound therapy at all, it is too low. If you cannot hear tinnitus at all, it may be more volume than you need. The middle zone is where you can hear both, and neither one is taking over.",Ready for TTS,Not generated,Not checked,Slight adjustment
B02 — Sound Therapy,15,AUD-ST-HH-001,Sound Therapy,ST-005,Hearing Care and Amplification,Short explainer / exercise,15-90 sec,15,audio/sound_therapy/st_hh_001_aud_st_hh_001.m4a,"If you have hearing loss, hearing care is one of the most important places to start. Hearing aids can act as a very customized form of sound therapy by restoring sounds your brain has been missing.",Ready for TTS,Not generated,Not checked,Good. | Promoted during closure pass.
B02 — Sound Therapy,16,AUD-ST-SS-001,Sound Therapy,ST-006,Sound Therapy for Sound Sensitivity,Short explainer / exercise,15-90 sec,16,audio/sound_therapy/st_ss_001_aud_st_ss_001.m4a,"For people with sound sensitivity, using sound may seem strange at first. The same basic principle still applies: comfortable sound, presented under your control, can help the auditory system and the alarm system become less reactive over time.",Ready for TTS,Not generated,Not checked,Good | Promoted during closure pass.
B02 — Sound Therapy,17,AUD-ST-SS-002,Sound Therapy,ST-007,Enjoyable Music Speaker Exercise,Short explainer / exercise,15-90 sec,25,audio/sound_therapy/st_ss_002_aud_st_ss_002.m4a,"Choose music you actually enjoy. Start with the volume all the way down, then slowly raise it until you begin to notice sensitivity. Turn it down slightly below that point and listen for 10 to 15 minutes. Some days the level will be lower and some days it will be higher. The goal is the process, not a perfect number.",Ready for TTS,Not generated,Not checked,Good | Promoted during closure pass.
B02 — Sound Therapy,18,NEW-AUD-ST-PLAN-001,Sound Therapy,ST-008,Create sound therapy plan,Exercise walkthrough,45-60 sec,27,audio/sound_therapy/st_plan_001_create_plan.m4a,"Now turn sound therapy into a simple plan. Choose one or two sounds that feel comfortable, note when they might fit into your day, and think about what device or source you would actually use. Some times will be easy and some will be harder. That is not a problem. The goal is to make sound therapy practical enough that you can return to it consistently.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B03 — Acceptance and Change,19,AUD-200-OV,Acceptance and Change,AC-001,Acceptance versus change,Chapter overview,60-90 sec,27,audio/acceptance/p_200_aud_200_ov_acceptance_versus_change.m4a,"Acceptance can sound like giving up, especially when tinnitus feels new or overwhelming. In this app, acceptance means taking an honest look at what is happening right now so you can stop spending all your energy on unwinnable fights and start making changes that are actually available to you. Acceptance and change are not enemies; in many situations, acceptance is what makes meaningful change possible.",Ready for TTS,Not generated,Not checked,Wonderful
B03 — Acceptance and Change,20,AUD-200-OBJ,Acceptance and Change,AC-001,Learning objectives,Short explainer,15-30 sec,10,audio/acceptance/p_200_aud_200_obj_learning_objectives.m4a,"In this section, we are going to separate acceptance from giving up, look at how avoidance can increase frustration, and practice ways to emphasize acceptance. ",Ready for TTS,Not generated,Not checked,Slight adjustment
B03 — Acceptance and Change,21,AUD-201-S,Acceptance and Change,AC-001,Why this matters for tinnitus,Short explainer,15-30 sec,19,audio/acceptance/p_201_aud_201_s_why_this_matters_for_tinnitus.m4a,"At the beginning, many people try to win battles that tinnitus does not let them win quickly: finding the magic cure, blocking the sound all day, or searching constantly for the one perfect answer. Those reactions make sense, but they often lead to frustration and disappointment.",Ready for TTS,Not generated,Not checked,Redid the last sentence.  
B03 — Acceptance and Change,22,AUD-201-BML,Acceptance and Change,AC-001,Body Mind Life bridge,Short explainer,15-30 sec,14,audio/acceptance/p_201_aud_201_bml_body_mind_life_bridge.m4a,"This connects back to the Body, Mind, and Life model. The sound is part of the body experience, but the struggle, fear, avoidance, and disruption to daily life are often where tinnitus becomes most powerful.",Ready for TTS,Not generated,Not checked,This works well.
B03 — Acceptance and Change,23,AUD-202-A,Acceptance and Change,AC-002,Acceptance term,Short explainer,15-30 sec,13,audio/acceptance/p_202_aud_202_a_acceptance_term.m4a,"Acceptance does not mean that you like tinnitus, want it, or believe nothing can improve. It means you are acknowledging what is here right now so you can respond more wisely.",Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,24,AUD-202-R,Acceptance and Change,AC-002,Acceptance vs resignation,Short explainer,15-30 sec,12,audio/acceptance/p_202_aud_202_r_acceptance_vs_resignation.m4a,"Resignation says, nothing can change, so why try? Acceptance says, this is the situation I am in right now, and I can still choose the next useful step.",Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,25,AUD-202-C,Acceptance and Change,AC-002,Control and influence,Short explainer,15-30 sec,14,audio/acceptance/p_202_aud_202_c_control_and_influence.m4a,"You may not have a switch that turns tinnitus off on command. But you can influence your sound environment, your attention, your routines, your self-talk, and the way you move through your day.",Ready for TTS,Not generated,Not checked,Good.
B03 — Acceptance and Change,26,AUD-204-WC,Acceptance and Change,AC-002,What can change,Short explainer,15-30 sec,14,audio/acceptance/p_204_aud_204_wc_what_can_change.m4a,"Change can mean using sound therapy differently, returning to a routine, communicating a need, practicing mindfulness, or responding to a thought in a new way. Change does not have to mean forcing tinnitus to disappear.",Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,27,AUD-203-S,Acceptance and Change,AC-003,Avoidance vs acceptance,Short explainer,15-30 sec,13,audio/acceptance/p_203_aud_203_s_avoidance_vs_acceptance.m4a,The real opposite of acceptance is not change. The real opposite is often avoidance: trying so hard not to experience tinnitus that your whole day begins to organize around escaping it.,Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,28,AUD-203-EX,Acceptance and Change,AC-003,Resistance examples,Short explainer,15-30 sec,15,audio/acceptance/p_203_aud_203_ex_resistance_examples.m4a,"Avoidance can look like blocking out tinnitus all day, avoiding quiet places, canceling activities, or spending every free moment searching for cures. These patterns are understandable, but they can keep tinnitus at the center of your life.",Ready for TTS,Not generated,Not checked,Slight adjustment
B03 — Acceptance and Change,29,AUD-203-R,Acceptance and Change,AC-003,Resistance reflection,Prompt,15 sec,10,audio/acceptance/p_203_aud_203_r_resistance_reflection.m4a,Take a moment to ask: where am I pulling against tinnitus right now? You do not need to judge the answer. Just notice it.,Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,30,AUD-204-S,Acceptance and Change,AC-004,Acceptance leads to change,Short explainer,15-30 sec,15,audio/acceptance/p_204_aud_204_s_acceptance_leads_to_change.m4a,"Real change begins when we take account of the situation we are actually in. If we are fighting for a magic switch, we may miss the smaller changes that can make today easier and life better.",Ready for TTS,Not generated,Not checked,Slight adjustment
B03 — Acceptance and Change,31,AUD-205-OV,Acceptance and Change,AC-004,Sound therapy bridge,Bridge explainer,45-60 sec,34,audio/acceptance/p_205_aud_205_ov_sound_therapy_bridge.m4a,"Sound therapy gives us a concrete example of acceptance and change working together. If we use sound only to cover tinnitus completely, we may feel better for a moment, but we are also avoiding the sound. When we set sound therapy like we recommend in this app, where we can hear the sound therapy and still have some awareness of tinnitus, we are accepting enough of the situation for the brain to learn while still making the environment easier to tolerate.",Ready for TTS,Not generated,Not checked,Slight adjustment
B03 — Acceptance and Change,32,AUD-205-OM,Acceptance and Change,AC-004,Overmasking as avoidance,Short explainer,15-30 sec,19,audio/acceptance/p_205_aud_205_om_overmasking_as_avoidance.m4a,"There may be moments when covering tinnitus is useful, but if the whole strategy is to never hear tinnitus at all, the brain loses opportunity to change. Sound therapy works best when it supports your life rather than becoming another way to hide from it.",Ready for TTS,Not generated,Not checked,Adjusted and made easier.  
B03 — Acceptance and Change,33,AUD-206-G,Acceptance and Change,AC-005,Tug-of-War walkthrough,Exercise walkthrough,60-90 sec,28,audio/acceptance/p_206_aud_206_g_tug_of_war_walkthrough.m4a,"Imagine tinnitus on the other side of a rope. You pull harder and harder, trying to win, but the more energy you spend, the more exhausted and stuck you feel. Dropping the rope does not mean you like tinnitus or that tinnitus wins. It means you stop spending this moment on a fight that is not helping, and you free up energy for one next useful action.",Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,34,AUD-206-F1,Acceptance and Change,AC-005,Pulling the rope prompt,Prompt,15 sec,10,audio/acceptance/p_206_aud_206_f1_pulling_the_rope_prompt.m4a,What does staying in the tug-of-war look like to you? What situations make you feel the need to fight against tinnitus?,Ready for TTS,Not generated,Not checked,"Let’s remove or rewrite this.  It is very similar to a previous prompt on the same topic, but outside the exercise.    Maybe something like “What does staying in the tug-of-war look like to you?  What situations to you feel the need to fight against tinnitus?” | Rewritten per closure decision."
B03 — Acceptance and Change,35,AUD-206-F2,Acceptance and Change,AC-005,Dropping the rope prompt,Prompt,15 sec,10,audio/acceptance/p_206_aud_206_f2_dropping_the_rope_prompt.m4a,Now ask what dropping the rope could look like for just one moment. What would you have more space to do if the struggle paused?,Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,36,AUD-207-S,Acceptance and Change,AC-006,Both-and thinking,Short explainer,15-30 sec,14,audio/acceptance/p_207_aud_207_s_both_and_thinking.m4a,"Two things can be true at the same time. Tinnitus can be present, and you can still choose something helpful. You can wish this were different, and still take care of yourself today.",Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,37,AUD-207-EX,Acceptance and Change,AC-006,Both-and examples,Short explainer,15-30 sec,17,audio/acceptance/p_207_aud_207_ex_both_and_examples.m4a,"Yes, my tinnitus is loud today, and I can use sound therapy to make it feel less intrusive. Yes, I wish I did not have tinnitus, and I can still go outside, connect with someone, or do something that matters.",Ready for TTS,Not generated,Not checked,Adjusted first sentence.  
B03 — Acceptance and Change,38,AUD-208-G,Acceptance and Change,AC-006,Yes AND builder,Exercise walkthrough,45-60 sec,16,audio/acceptance/p_208_aud_208_g_yes_and_builder.m4a,"Start with a real frustration. Do not soften it and do not pretend it is easy. Then add the word AND, followed by one action you can take. The first half is acceptance. The second half is change.",Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,39,AUD-208-F2,Acceptance and Change,AC-006,AND prompt,Prompt,15 sec,10,audio/acceptance/p_208_aud_208_f2_and_prompt.m4a,"Now add one useful action. For example: and I can use a sound I like, take one breath, or do one meaningful thing anyway.",Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,40,AUD-208-R,Acceptance and Change,AC-006,Yes AND reflection,Prompt,15 sec,9,audio/acceptance/p_208_aud_208_r_yes_and_reflection.m4a,Notice what changes when the sentence holds both truths. It doesn’t have to feel perfect for the statement to be useful.,Ready for TTS,Not generated,Not checked,Slight adjustment
B03 — Acceptance and Change,41,NEW-AUD-AC-VALUES-001,Acceptance and Change,AC-007,Reconnection with What Matters,Exercise walkthrough,45-60 sec,24,audio/acceptance/ac_values_001_reconnection.m4a,"Pick one thing tinnitus has made smaller in your life. It could be music, sleep, social time, quiet work, or something else that matters to you. You do not need to fix the whole situation today. List a few possible steps, then choose the easiest useful step you could take now. Reconnection starts with one realistic action.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B03 — Acceptance and Change,42,AUD-213-TL,Acceptance and Change,AC-008,Three Lines journal connection,Short explainer,15-30 sec,19,audio/acceptance/p_213_aud_213_three_lines_connection.m4a,"This can also connect to your Three Lines check-in. A few words about what you did for sound therapy, emotional regulation, or mindfulness may help you notice what supports you over time. This is an exercise we will dive deeper into throughout this app.",Ready for TTS,Not generated,Not checked,Added an addition onto the end.  
B03 — Acceptance and Change,43,AUD-214-OV,Acceptance and Change,AC-008,Acceptance to mindfulness bridge,Bridge explainer,45-60 sec,17,audio/acceptance/p_214_aud_214_ov_acceptance_to_mindfulness_bridge.m4a,"Mindfulness becomes easier when we understand acceptance first. Mindfulness is not a test where you sit in silence and suffer. It is the practice of noticing what is here, including tinnitus, without letting it become the only thing in awareness.",Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,44,AUD-214-DT,Acceptance and Change,AC-008,Acceptance to distress tolerance bridge,Short explainer,15-30 sec,8,audio/acceptance/p_214_aud_214_dt_acceptance_to_distress_tolerance.m4a,"When distress is high, acceptance may start very small: one pause, one breath, or one decision not to react immediately.",Ready for TTS,Not generated,Not checked,Good
B03 — Acceptance and Change,45,AUD-215-OV,Acceptance and Change,AC-008,Save acceptance tools,Short explainer,15-30 sec,9,audio/acceptance/p_215_aud_215_ov_save_acceptance_tools.m4a,Write down the statements and reflections that feel useful. You can come back to them later when you need a reminder.,Ready for TTS,Not generated,Not checked,Slight adjustment
B03 — Acceptance and Change,46,AUD-215-NEXT,Acceptance and Change,AC-008,Next step after acceptance,Short explainer,15-30 sec,10,audio/acceptance/p_215_aud_215_next_next_step_after_acceptance.m4a,"The next section builds on this directly. Mindfulness gives you a way to practice acceptance in real moments, without needing silence or perfection.",Ready for TTS,Not generated,Not checked,Good.  
B04 — Mindfulness,52,AUD-300-OV,Mindfulness,MF-001,Mindfulness,Chapter overview,60-90 sec,14,audio/mindfulness/p_300_aud_300_ov_mindfulness.m4a,"Mindfulness is not forcing silence, forcing relaxation, or staring at tinnitus. In this app, mindfulness means building attention flexibility: noticing what is happening, widening the field of awareness, and returning to the present moment.",Ready for TTS,Not generated,Not checked,Good.  
B04 — Mindfulness,53,NEW-AUD-MF-ISNOT-001,Mindfulness,MF-001,What mindfulness is and is not,Short explainer,30-45 sec,20,audio/mindfulness/mf_isnot_001_what_mindfulness_is_not.m4a,"Mindfulness does not have to mean sitting in silence, forcing relaxation, or pretending tinnitus is not there. It can be one breath, one moment of noticing, or one practice of widening attention. For tinnitus, mindfulness is about flexibility: letting tinnitus be one part of awareness, not the whole field.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B04 — Mindfulness,54,AUD-301-G,Mindfulness,MF-002,Deep Breath Check-In,Guided practice,30-60 sec,17,audio/mindfulness/p_301_aud_301_g_deep_breath_check_in.m4a,"You are already breathing, so we may as well start there. Take one slower breath in, let it out gently, and notice what changes in your body. You do not need to make tinnitus disappear. Just notice this one breath.",Ready for TTS,Not generated,Not checked,Slight adjustment
B04 — Mindfulness,55,AUD-302-G,Mindfulness,MF-003,3-2-1 Senses,Guided practice,45-60 sec,17,audio/mindfulness/p_302_aud_302_g_3_2_1_senses.m4a,"Look for three things you can see, two things you can feel, and one sound you can hear outside of tinnitus. This is not a test. It is a way to remind your attention that more is happening than tinnitus alone.",Ready for TTS,Not generated,Not checked,Good
B04 — Mindfulness,56,AUD-303-G,Mindfulness,MF-004,Mindful Listening,Guided practice,60-120 sec,14,audio/mindfulness/p_303_aud_303_g_mindful_listening.m4a,"Choose a simple activity, like making coffee or walking through a room. Listen broadly. Notice environmental sounds, body sounds, and tinnitus if it is present. Label tinnitus neutrally as one sound among others.",Ready for TTS,Not generated,Not checked,Good
B04 — Mindfulness,57,NEW-AUD-MF-SHIFT-001,Mindfulness,MF-005,Sound Shifting practice,Guided practice,60-90 sec,32,audio/mindfulness/mf_shift_001_sound_shifting.m4a,"Choose a comfortable outside sound, such as a fan, water, rain, or another sound you can hear easily. Start by listening to that sound. Then, if tinnitus is present, gently notice it for a moment without arguing with it. Shift back to the outside sound. Then widen your attention and notice both sounds as part of the same environment. The goal is not to win or force tinnitus away. The goal is to practice moving attention on purpose.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B04 — Mindfulness,58,NEW-AUD-MF-HARD-001,Mindfulness,MF-006,When mindfulness feels hard,Short explainer,30-45 sec,21,audio/mindfulness/mf_hard_001_when_mindfulness_feels_hard.m4a,"If mindfulness feels hard, that does not mean you are doing it wrong. Make the practice shorter, keep your eyes open, add comfortable sound, or switch to a simple 3-2-1 senses exercise. Then choose when mindfulness fits best for you: morning, evening, or brief moments throughout the day.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B05 — Distress Tolerance,59,NEW-AUD-DT-SAFETY-001,Distress Tolerance,DT-001,Distress is not the same as danger,Scope/safety explainer,30-45 sec,21,audio/distress/dt_safety_001_distress_not_danger.m4a,"Distress tolerance skills are for moments that feel intense, frustrating, or overwhelming. They are not a substitute for help if you feel unsafe or are in a mental health crisis. If safety is the concern, the goal is not to practice perfectly. The goal is to get direct support right away.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B05 — Distress Tolerance,60,AUD-400-OV,Distress Tolerance,DT-001,Distress Tolerance,Chapter overview,60-90 sec,17,audio/distress/p_400_aud_400_ov_distress_tolerance.m4a,"Distress tolerance skills are for the moments when tinnitus feels overwhelming. These skills do not need to solve tinnitus. Their job is to help you pause, reduce the intensity of the moment, and avoid reacting in a way that makes things harder.",Ready for TTS,Not generated,Not checked,Good
B05 — Distress Tolerance,61,AUD-401-S,Distress Tolerance,DT-001,Fluctuations,Short explainer,15-30 sec,8,audio/distress/p_401_aud_401_s_fluctuations.m4a,The word fluctuation reminds us that tinnitus can change. A difficult moment does not automatically mean a permanent setback.,Ready for TTS,Not generated,Not checked,Good.  
B05 — Distress Tolerance,62,AUD-403-G,Distress Tolerance,DT-002,STOP,Guided practice,60-90 sec,14,audio/distress/p_403_aud_403_g_stop.m4a,"Stop. Take a step back. Observe what is happening in your body, thoughts, emotions, and urges. Then proceed mindfully by choosing the next action that helps rather than the first reaction that appears.",Ready for TTS,Not generated,Not checked,Good
B05 — Distress Tolerance,63,AUD-402-G,Distress Tolerance,DT-003,Temperature Reset,Guided practice,30-60 sec,13,audio/distress/p_402_aud_402_g_temperature_reset.m4a,Temperature changes can grab our attention.  The goal of this is changing the perception that we are having.  Definitely not causing pain.  We are bringing awareness to one of our senses.  ,Ready for TTS,Not generated,Not checked,Changed.  
B05 — Distress Tolerance,64,NEW-AUD-DT-ICE-001,Distress Tolerance,DT-003,Grab an ice cube,Guided mini-exercise,30-60 sec,23,audio/distress/dt_ice_001_ice_cube.m4a,"For a quick temperature reset, hold an ice cube, a cold pack, or something cool in your hand. Notice the temperature, texture, and the way your attention shifts. This is not about causing pain. Set it down if it hurts. The purpose is to give your body a clear signal that helps the moment slow down.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B05 — Distress Tolerance,65,AUD-404-G,Distress Tolerance,DT-004,TIPP,Exercise walkthrough,60-120 sec,12,audio/distress/p_404_aud_404_g_tipp.m4a,"TIPP uses the body to help calm the mind: temperature, intense movement when appropriate, paced breathing, and paired muscle relaxation. Choose the safest option for your body and your situation.",Ready for TTS,Not generated,Not checked,Good
B05 — Distress Tolerance,66,NEW-AUD-DT-ORANGE-001,Distress Tolerance,DT-005,Frozen orange sensory grounding,Guided mini-exercise,45-60 sec,26,audio/distress/dt_orange_001_frozen_orange.m4a,"A frozen orange or another piece of citrus can become a simple grounding tool. Hold it and notice the cold, the texture, the weight, and any scent that appears as it warms. As the surface changes, let your attention follow those details. The point is not pain or endurance. The point is using safe, noticeable sensory information to step out of the tinnitus tornado.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B05 — Distress Tolerance,67,NEW-AUD-DT-SKILL-001,Distress Tolerance,DT-006,Skill response sheet,Exercise walkthrough,30-45 sec,23,audio/distress/dt_skill_001_response_sheet.m4a,"After using a distress skill, write only a few words. What was happening? What skill did you use? Did it help a little, a lot, or not right now? This is not a graded assignment. It is a way to learn which tools are useful and to fill in the emotional regulation line when it fits.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B06 — Cognitive Reframing,68,AUD-500-OV,Cognitive Reframing,CR-001,Cognitive Reframing,Chapter overview,60-90 sec,21,audio/cognitive/p_500_aud_500_ov_cognitive_reframing.m4a,"Cognitive reframing is not forced positivity. It is a way of slowing down a thought, checking whether it is accurate, and finding a more balanced way to respond. Tinnitus may be real and difficult, and your mind may still add a story that makes the moment feel even more threatening.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,69,AUD-501-S,Cognitive Reframing,CR-001,CBT Context,Short explainer,15-30 sec,17,audio/cognitive/p_501_aud_501_s_cbt_context.m4a,"CBT is built around a simple idea: what we think, what we feel, and what we do all influence each other. In this app, we are using one practical CBT skill: checking the thoughts that make tinnitus distress feel bigger.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,70,AUD-505-TINNITUS,Cognitive Reframing,CR-001,Why This Matters for Tinnitus,Short explainer,30-60 sec,14,audio/cognitive/p_505_aud_505_tinnitus_why_this_matters_for_tinnitus.m4a,"Tinnitus is not only the sound. It is also the meaning your brain attaches to the sound. If the meaning is danger, helplessness, or failure, distress can grow quickly. Reframing helps test that meaning.",Ready for TTS,Not generated,Not checked,Slight adjustment
B06 — Cognitive Reframing,71,AUD-514-NOT-POSITIVE,Cognitive Reframing,CR-001,Not Forced Positivity,Short explainer,30-60 sec,15,audio/cognitive/p_514_aud_514_not_positive_not_forced_positivity.m4a,"This is not about telling yourself tinnitus is wonderful. That would probably feel fake, because it is. Reframing is about accuracy: this is unpleasant, and it does not have to control every choice I make today.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,72,AUD-502-LOOP,Cognitive Reframing,CR-002,Thoughts Feelings Behaviors,Short explainer,15-30 sec,16,audio/cognitive/p_502_aud_502_loop_thoughts_feelings_behaviors.m4a,Awareness of tinnitus can trigger a thought. That thought can change your emotions. Those emotions can shape what you do next. Then that behavior can reinforce the next thought. Reframing gives you an off-ramp in that loop.,Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,73,AUD-502-EXAMPLE,Cognitive Reframing,CR-002,Thoughts Feelings Behaviors Example,Example walkthrough,30-60 sec,17,audio/cognitive/p_502_aud_502_example_thoughts_feelings_behaviors_exam.m4a,"For example: tinnitus feels loud. The thought is, today is ruined. The feeling is dread. The behavior may be withdrawing, checking, or searching for a quick fix. The new goal is to pause that chain before it takes over the whole day.",Ready for TTS,Not generated,Not checked,Good
